Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
ECB_00020, 773.0, , , , , , , , , 36250:1:1:0;52750:1:1:0, 17750:1:1:0, , 27250:3:4:0.078534;18250:1:1:0;37250:1:1:0
ECB_00021, 986.3, , , , , 34250:3:4:0.0619469, , 41750:1:1:0;36750:1:1:0, , , , 22250:1:1:0, 40750:3:3:0.907104;38750:1:1:0;32250:3:3:0.918919
ECB_00022, 665.7, , , , 32250:1:1:0, , , , , 43250:2:2:0.94, , , 27750:3:3:0.896296;7250:2:2:1
ECB_00025, 387.3, , , , , , , 54250:1:1:0, 19250:1:1:0, , , , 30750:1:1:0
ECB_00026, 148.0, , , , , , , , , 45250:1:1:0, 43750:3:4:0.297297, , 
ECB_00212, 284.7, , , 19750:1:1:0.0238095, , , , , 6250:2:3:0.916667, 34750:3:5:0.4;50250:1:1:0, 35250:3:3:0.761905, 29750:2:3:1, 17750:1:1:0;750:1:1:0.0265487
ECB_00265, 207.0, , , , , , , , , , 35750:1:1:0.0178571, 35250:2:3:1, 
ECB_00320, 261.7, , , , , , , , , , , 30250:1:1:0, 
ECB_00376, 828.7, 10250:1:1:0, , , , , , 28250:1:1:0, , 57750:3:5:0.0709677, 55750:1:1:0.0384615;47750:3:3:0.674419, 41250:1:1:0, 43750:1:1:0
ECB_00377, 433.3, , , , , , , , , 41250:1:1:0.0309278, , 37750:1:1:0, 29750:1:1:0.0103093;38250:1:1:0
ECB_00378, 383.3, , , , , , , , , 43250:2:2:0.96875, 14750:2:2:1, 40750:1:1:0;58750:3:6:0.0588235;13750:1:1:0;5250:1:1:0, 8750:1:1:0;42750:1:1:0;19750:2:2:1;9250:1:1:0
ECB_00487, 297.3, , , , , , , , , , 26750:1:1:0, 31250:1:1:0, 
ECB_00488, 268.3, , , , , , , 49750:1:1:0, , , , 40750:1:1:0, 41750:3:4:0.0635838
ECB_00489, 243.0, , , , , , , , 56250:1:1:0, , , , 43250:3:4:0.0461538
ECB_00490, 370.0, , , , , , , , 17750:1:4:0.0188679;15250:2:3:0.963415, 47250:1:1:0, , 58250:3:6:0.907692;36750:2:3:1;34250:1:1:0, 750:1:1:0
ECB_00510, 253.0, , , , , , , , , , , , 
ECB_00512, 1115.0, , , , , , , , , 31750:2:2:1, , 13750:1:1:0;19250:2:2:0.9375, 
ECB_00513, 1023.0, , , , 29250:1:1:0;14750:1:1:0, , 21250:1:1:0, 39250:1:1:0;27250:1:1:0, 19750:2:2:1;15750:2:2:1, 40250:1:1:0;40250:1:1:0;39250:1:1:0;41750:1:1:0;43250:1:1:0, , 8750:1:1:0, 12250:2:2:1;39750:3:4:0.0993377;50250:1:1:0.00684932;38250:1:1:0
ECB_00514, 34.3, , , , , , , , , , , , 
ECB_00515, 107.0, , , , , , 19250:1:1:0, , , , , , 
ECB_00516, 10.7, , , , , , , , , , , , 35250:1:1:0
ECB_00517, 141.0, , , , , , , , , , 6750:1:1:0, , 
ECB_00524, 110.3, , , , , , , , , , , 19250:1:1:0, 13750:1:1:0
ECB_00526, 233.0, , , , , , , 55750:1:1:0, , , , 15250:1:1:0, 
ECB_00527, 236.3, , , , , , , , , , , , 53250:1:1:0
ECB_00528, 238.7, , , , , , , , , 8750:1:1:0, , , 24750:1:1:0
ECB_00529, 411.3, , , , , , , , , , , 25750:3:6:0.125, 4750:2:2:0.991379;25750:2:2:1
ECB_00530, 236.0, , , , , , , , , , , , 
ECB_00624, 1538.0, , , , 32250:1:1:0;31750:1:1:0, , , , 6250:1:4:0.0909091;39250:1:4:0.03125, 35250:2:2:1, 51250:1:1:0;48250:3:3:0.640625;54750:1:1:0;55750:1:1:0.0212766, 21250:1:1:0.0740741, 13250:1:1:0;24250:1:1:0
ECB_00650, 227.3, , , , , , , , , 53750:1:1:0, , , 10250:2:2:1
ECB_00662, 321.7, , , , , , , 40750:3:4:0.363636, 12250:1:1:0, , , , 10250:1:1:0;23750:1:1:0
ECB_00663, 318.7, , , , , , , , , , 29250:2:2:1, , 
ECB_00664, 295.3, , , , , , , 30750:1:1:0, , , 48250:1:1:0;33250:1:1:0, , 28750:3:3:0.679487
ECB_00726, 950.7, , , , , , , 55250:3:4:0.363636;29750:3:3:0.716667;30250:3:3:0.469388, 24250:2:3:0.984615, 53250:1:1:0;45750:1:1:0, , , 
ECB_00727, 220.7, , , , , , , , , , , 10250:1:1:0, 28750:1:1:0
ECB_00728, 255.7, , , , , , , 32750:1:1:0, , , , , 
ECB_00729, 237.3, , , , , , , , , , , , 10250:1:1:0
ECB_00730, 123.0, , , , , , , , , , , , 
ECB_00731, 128.7, , , , , , , , , , , 22750:2:3:1, 42250:3:4:0.0336134;25250:1:1:0;750:1:1:0.00680272
ECB_00732, 530.3, , , , , , , 26250:2:2:1, 5250:1:1:0;10250:2:3:1, , , , 21750:2:2:1
ECB_00733, 1264.0, , , , , , , , 17750:1:4:0, , 7250:2:2:1, 32250:1:1:0, 23250:1:1:0
ECB_00734, 581.7, , , , , , , 45750:1:1:0, 39250:2:3:0.875, , , 8250:1:1:0, 29250:1:1:0;750:3:4:0.043956;32250:3:4:0.0549451
ECB_00735, 383.3, , , , , 3250:1:1:0, , 37750:1:1:0, 17750:1:1:0;3750:2:3:1, 37250:3:5:0.356436;58750:1:1:0;57250:1:1:0.00943396, 7250:3:5:0.514286;16250:2:2:0.833333;16250:2:2:0.875, 16750:2:3:1;42250:1:1:0;26750:3:6:0.75;26750:3:6:0.333333;41250:3:6:0.473684, 750:1:1:0
ECB_00736, 313.7, , , , , , , , , , 58250:3:6:0.0337079;42750:1:1:0, , 7250:1:1:0
ECB_00737, 906.7, , , , 8750:2:2:1, , , , 38750:1:1:0, , , 13750:2:2:1, 26750:1:1:0;42750:3:4:0.725;750:1:1:0
ECB_00738, 1142.7, , , , , , , 32250:3:3:0.608696, , 52750:3:5:0.886792, , 13250:1:1:0;35250:2:6:0.882353;15250:1:1:0;25250:1:1:0, 17750:1:1:0.00578035
ECB_00739, 1037.3, , , , , 37250:1:1:0.0105263, , , , 39250:1:1:0, , 7750:2:2:0.981481, 21750:2:2:0.992857;20250:1:1:0
ECB_00783, 203.7, , , , , , , , , , , , 
ECB_01081, 289.7, , , , , , , , 18250:1:1:0, , , , 11750:1:1:0;21750:2:2:1
ECB_01147, 319.0, , , , , , , , , 41250:1:1:0, 19250:2:2:0.972222, , 
ECB_01206, 392.3, , , , , , , , , 37750:1:1:0, 18750:1:1:0, 21250:1:4:0, 25250:1:1:0
ECB_01334, 26.7, , , , , , , , , , , , 
ECB_01335, 133.7, , , , , , , , , , , , 
ECB_01336, 290.0, , , , , , , , , , , , 
ECB_01341, 684.0, , , , , , 14750:1:1:0.011236, 30750:1:1:0;34250:3:3:0.571429, 18750:1:1:0, 19250:2:2:1, 14250:1:1:0, 27750:1:1:0, 12250:2:2:1;8250:2:2:1
ECB_01342, 1473.7, , , , , , , 32750:1:1:0, 32750:2:3:0.979592;8750:1:4:0.0465116, 44750:1:1:0, 22750:2:2:1;35250:1:1:0, 39750:1:1:0;3750:2:2:1;50250:2:3:1;37250:1:1:0, 31250:1:1:0;36250:1:1:0;46750:3:4:0.06875;19750:1:1:0;15250:2:2:1;6750:1:1:0
ECB_01343, 216.0, , , , , , , 36750:1:1:0, , , , , 
ECB_01344, 33.7, , , , , , , 53750:3:4:0.340426;28750:3:3:0.641304, , , , , 
ECB_01382, 111.3, , , , , , , , 20750:1:4:0.047619, , , , 
ECB_01413, 750.7, , , , , , , 27750:1:1:0.025;49250:1:1:0;45250:3:4:0.349206, , , , 23250:1:1:0;15750:1:1:0;19750:1:1:0, 35250:1:1:0;27250:1:1:0.00900901
ECB_01416, 695.0, , , , , , , 32750:1:1:0, , , , , 27250:1:1:0;21250:1:1:0.00724638;26750:2:3:0.950355
ECB_01417, 204.0, , , , , , , , , , , , 
ECB_01458, 263.0, , , , , , , 41750:1:1:0, , , , , 
ECB_01464, 859.0, , , , , , , , 19250:1:1:0, , 19250:2:2:1, 28750:2:3:1;27250:1:1:0;35750:1:1:0, 19750:1:1:0;750:1:1:0;19750:2:2:1
ECB_01465, 326.0, , , , , , , 27250:1:1:0, , , , 22750:2:3:1, 36250:1:1:0
ECB_01466, 279.0, , , , , , , , , , , , 10250:1:1:0;31750:1:1:0.00769231
ECB_01467, 405.0, , , , , , , 53250:1:1:0, , 53250:1:1:0, , 19250:1:1:0, 5250:2:2:0.993243;53750:3:6:0.193548
ECB_01487, 228.7, , , , , , , 32750:1:1:0, , , , , 
ECB_01488, 344.3, , , , , , , , , 57750:3:5:0.04, , 47250:1:1:0;12250:1:1:0, 
ECB_01506, 109.0, , , , , , , , , , , , 
ECB_01507, 37.3, , , , , , , , , , , , 
ECB_01516, 200.7, , , , , 37250:1:1:0, , , , , , , 
ECB_01522, 672.7, , , , , , , , , , , , 15250:1:1:0;17750:1:1:0
ECB_01523, 662.0, , , , , , , , , 7750:1:1:0, 20750:2:2:1, 46250:1:1:0, 
ECB_01526, 217.0, , , , , , , , , 44250:2:2:0.864407, , , 
ECB_01527, 501.3, , , , , , , , , , , , 41250:3:3:0.566265;6750:1:1:0;24250:1:1:0
ECB_01528, 202.3, , , , , , , 44250:3:4:0.410959, 15750:1:1:0, , 12250:2:2:0.903846, 23250:2:3:0.894737, 35750:1:1:0.00840336
ECB_01530, 277.3, , , , , , , , , , , 10250:2:2:1, 1250:1:1:0;42750:3:4:0.111111;12250:2:2:0.989247;17750:1:1:0
ECB_01533, 175.7, , , , , , , , , , , , 
ECB_01534, 704.3, , , , 17750:1:1:0, , , , , , , , 32250:3:3:0.92
ECB_01535, 364.0, 52750:3:4:0.0827068, , , 16250:1:1:0, , , , , , 56750:3:4:0.2;35750:3:3:0.846154, 28750:1:1:0, 42750:1:1:0
ECB_01536, 791.0, , , , , , , , , 52750:3:5:0.9, , , 
ECB_01539, 313.3, , , , , , , , , , , , 
ECB_01540, 261.7, , 37250:2:2:0.894737, , 35750:1:4:0.2, , , , , , , , 45250:3:4:0.037037
ECB_01541, 289.0, , , , , , , 52750:1:1:0, , , , 45750:1:1:0, 
ECB_01542, 304.0, , , , , , , , 21250:1:1:0, , , , 
