"ECB_00212"	"ECB_00256"	"ECB_00739"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_02035"	"ECB_02800"	"ECB_04210"	"ESCRE1901"	"IS3_insF"	"aroK"	"aspA"	"atpF"	"atpG"	"cls"	"cysQ"	"dapA"	"dgt"	"dnaA"	"dusB"	"endA"	"eutJ"	"fbp"	"fis"	"ftsH"	"ftsW"	"fusA"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpK"	"glpR"	"glpT"	"gspF"	"gspG"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvL"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"malQ"	"mdoG"	"mdoH"	"metA"	"metH"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"ompR"	"pck"	"poxA"	"ppiA"	"pyrB"	"rho"	"rhsA"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsC"	"rpsR"	"rrlB"	"rsmC"	"rssB"	"rtn"	"sbmA"	"slyA"	"sucB"	"tktB"	"ubiB"	"ulaG"	"uxaA"	"vacJ"	"yahN"	"ybaL"	"ybeA"	"ybjE"	"ycbC"	"yccE"	"ycjP"	"ydbD"	"ydcU"	"ydeH"	"ydiJ"	"yehU"	"yejA"	"yfaE"	"yfcN"	"yfhK"	"ygjF"	"yhaO"	"yjaG"	"yjaH"	"yjcC"	"yjeP"	"yjgN"	"ylaB"	"yraQ"	"zraR"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00256"	0	1	0	0.136986079394584	0	0	0.092426029382553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141281174510969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128116017850594	0	0	0	0	0	0	0	0	0	0.101015019841246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131433357825502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109341874035908	0	0	0.149376359499423	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0	0.136986079394584	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746438693763386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307885520590301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318657303522262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0776920811396854	0	0	0	0	0	0.031681369660617	0	0	0	0	0	0	0	0	0	0	0	0	0.0285800456376913	0	0.094264835095562	0	0	0.0716033441390202	0	0	0	0	0	0	0.014125195956909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0661715889929434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01996"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02035"	0	0.092426029382553	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238589767884961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101415921169741	-0.00228216122738589	0	0	0	0	0	0.0258560864795869	0.0531772480088154	0	0	0	0	-0.073357426046641	0	0	0	0	0	0	0	0	0.0431734535719794	-0.0398891749696661	0	0	0	0	0	0	0	0	0	-0.0345809557501836	0	0	0.0197167737013329	0	0	0	0	0.0668998801373752	0	0	0	0	-0.101114470430664	0.292046634781581	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0664034822074543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000530486484016176	0	0	0	0	0	0	0	0	0
