"ECB_00376"	"ECB_00737"	"ECB_01992"	"ECB_02008"	"ECB_02804"	"ECB_03523"	"ECB_04210"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"araE"	"atoC"	"atpF"	"cbpA"	"clpB"	"cls"	"crp"	"dapA"	"efeO"	"endA"	"fadH"	"fcl"	"fruK"	"glgC"	"glgP"	"glmM"	"glpF"	"glpG"	"hupB"	"iclR"	"ilvE"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"mdoG"	"metA"	"motB"	"mrdA"	"mreB"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"orn"	"pdhR"	"puuP"	"rep"	"rhlB"	"rho"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoH"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"slyA"	"speB"	"thiI"	"thrB"	"thrS"	"tldD"	"truB"	"wzyE"	"ybaL"	"ydiJ"	"yehU"	"yejA"	"yejM"	"ylbH"	"ynjA"
"ECB_00376"	1	0	0	0.0542677059167062	0	0	0	0	-0.00163606296098999	0	0	0	0	0	0	0	0	0	-0.0378483053331378	0	0	0	0	0	0	0.206072614551017	0	0	0	0	0	0	0	0	0	0	-0.0649134219282002	0	0	-0.0145360981421421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0484517383373214	0	0
"ECB_00737"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0864445646955312	0	0	0	0.110556434270318	0	-0.0116216195572703	0	0	0	0	0	0	0	0	0	0	0.102825006586315	0	0	0	0	0.00865611821589552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468711692090931	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0835484102050111	0
"ECB_01992"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.00229020618449255	0.0664792724303118	0	0	0	0	0	0.126813913723062	0	0.0419692912440531	-0.0236550913420353	0	0	0	0	0.0877551084861277	0	0	0	0	0.00330624731974268	0	0	0.126257964251884	0	0	0	0	0	0	0	0	0	0	0.0613524735538323	0	0	0	0	0	0.100874883702678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	0.0542677059167062	0	0	1	0	0	0	0	-0.00881401863452651	0	0	0	-0.00121364930902538	0	0	0	0	0	-0.0453194840005324	0	-0.00158555542193101	0	0	0	0	0.211515957665789	0	0	0	0	0	0	0	0	0	-0.00267317271986138	-0.0637239089622458	0	0	-0.020565481674543	0	-0.00618107571636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552376782113157	0	0
"ECB_02804"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.00328631835639192	0	0	0	0	0	0	0	0	-0.149751807710602	0	0	0	0	0	0	0	0	0	0	-0.158803887613266	0	0	0	0	0	0	0	0.00126265444444428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03523"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00930020492218784	0	0	0	0	0	0	0	0.101504080298873	0	0	0.0398697284315406	0.117771422376973	0	0	0	0.0199110539896852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0687833769443629	0	0	0	0.117355970419672	0	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.193901391347701	0	0	0	0	0	0	0	0	0	0.0160867520086621	-0.000991820850678107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054190863241529	0	0.00789273765716382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.00773326452681323	0	0	0	0	0	0	0.0700345729304166	0	0	0	0	0	0	0	0	0	0	-0.0923440401329005	0	0	-0.000440643152118178	0.101790981238221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104340743739554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	-0.00163606296098999	0	0	-0.00881401863452651	0	0	0	0	1	0.00414346484907383	0	0	0	0	0	0	0	0	0.0392471880300487	0	0	0	0	0	0	-0.0806049570353789	0	0	0	0	0	0	0	0	0	0	0.173231994037121	0	0	0.0671526462469254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0361115881903033	0	0	0	0	0	0	0	0	0	0	-0.00265291197740141	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0.00414346484907383	1	0	0	0.0416849507131144	0	0	0	0	0	0	0	0.0422081064343416	0	0	0	0	-0.111894003494224	0	0	0	0	0	0	0	0	0	0	0.100884905246587	0	0	0.0234793444441952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0300301554486044	0	0	0	0	0	0	0	0	0	0	0	0
