"ECB_00503"	"ECB_01992"	"ECB_02002"	"ECB_misc_RNA_47"	"ESCRE0483"	"ESCRE1397"	"ESCRE1901"	"aroA"	"atpF"	"cls"	"dedA"	"dnaA"	"dusB"	"eamA"	"ebgA"	"endA"	"entF"	"eutJ"	"fbp"	"frmC"	"fruK"	"fsr"	"gabD"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hslU"	"hycE"	"iclR"	"infB"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"lsrG"	"manX"	"manZ"	"mdoH"	"metH"	"metJ"	"metW"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nusA"	"ompR"	"ppk"	"prc"	"prfA"	"proQ"	"proW"	"pta"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsR"	"rssB"	"sbcC"	"secF"	"thrA"	"thrS"	"topA"	"uraA"	"uspA"	"uvrD"	"valT"	"wzyE"	"yahA"	"ybaL"	"ybhJ"	"ycbC"	"ycgV"	"ydaE"	"ydeJ"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfcD"	"yfeY"	"yfiB"	"ygcN"	"ygfA"	"ygfK"	"yraL"
"ECB_00503"	1	0	0	0	0	0.164260238044491	0.0240461918834842	0	0	0	0.022733605956657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00542518099378499	0	0	0	0	0	0.102382908001503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597427961339188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0.0684156131652565	-0.0367242318120449	0	-0.0168891884409891	-0.0906555007500673	0	0	0	0	-0.0128062501890664	0	0	0	0	0	0	0	0	0	0	0	0	0.0906620243615121	0	0	0.0209161067659829	0.128818378216572	0	0	0.118789669820344	0	0	0	-0.00969473461731372	0	0	0.1528778868047	0	0	0	0	0	0	0.138070689312702	0	0	0.0655208443958701	0	0	0	0	0	0	0	0	0	0.0458079967232417	0	0	0	0	0	0	0	0	0.124622210187945	0	-0.00454692426544816	0	0	-0.0612602169441502	0	0	0	0	0	0	0.021922661741373	0	0	0	0.141162034566255	0	0	0	0	0	0.0203659040457008	0	0	0	0	0	0	0	0
"ECB_02002"	0	0.0684156131652565	1	0	0	0	0	0	0	0	0	0	0	0.0763203085108469	0	0	0	0	0	0	0	0	0	-0.186576126296526	0	0	0	0	0	-0.080164194288628	0	0.0855234396048273	0	0	0	-0.0635735411820616	0	0	0	0	0.0463452023114026	0	0	0	0	0	0	0	0	0	0	-0.00994180068437856	0	0	0	0	0	0	0.0301311284679576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319638124644241	0	0	0	0	0	0	0	0	0.103230661222591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	-0.0367242318120449	0	1	0	0	0.0801099422542872	0	0	0	0	0	0	0	0	0	0.145442702838851	0	0	0	0	0	0	-0.0948154841599011	-0.0722160476993908	0	0	-0.031363116678348	0	0	0	0	0	-0.0122465706541807	0	0	0	0	-0.00793834507856008	0	0	0	0	0.145844037601742	0.0766140483852221	-0.00170341660230484	0	0	-0.0247430960669191	0.0149075602823948	0	-0.00314687981417183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180938910148852	0	0	-0.0197378853821584	0	0	0.15537277104496	0	0.0756595516010573	0.104290820209197	0	-0.00246952192134367	0	0	0	0	0	0	0	0	0.119779747992307	0	0	0	0	0	0	0	0	0	0	-0.0018436286267281
"ESCRE0483"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0450967843318468	0	0	0	0.0111063165708664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10723909841029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0151376199052321	0	0.117661525330026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1397"	0.164260238044491	-0.0168891884409891	0	0	0	1	0.139637029742523	0	0	0	0.147881772723832	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0177390537535457	0	0	0	0	0.0231888928825909	0	0	0	-0.00200013336264416	0	0.141712123062147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112822996680424	0	0	0	0	0	0.160485163449743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0.0240461918834842	-0.0906555007500673	0	0.0801099422542872	0	0.139637029742523	1	0	0	0	0	0	0	0	0	0	0.0529911285465873	0	0	0	0	0	0	-0.00354388592241879	-0.133825084902815	0	0	-0.0196411559929481	0	0	0.0579233736816187	0	0	-0.0233315035152093	0	0	0	0	0	0	0	0	0	0.0537551558796541	0	0	0	0	0	0.047795790385888	0.0739924135834812	0	0	0.0428529774611107	0	0	0.00109991539203019	0	0	0	0	0	0	0	0	0.0581456411926256	0.0129371829960313	0	0	0	0	0	0.207938281104064	0	0	0	0	0	0.040063932513109	0	0	0	0	0	0	0	0	0.00236106376546736	0	0.00085438915460727	0	0	0	0	0	0	0	0
"aroA"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083771002541385	0	0	0	0	0	0.135721857463277	0	0	0	0	0	0.037686145727493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.141601676425303	0	0	0	0	0	0	0	-0.0726936620074632	0	0	0	0	0	-0.0077698492112294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0790674483454776	0	0.149559950566191	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167777698499545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0444724606297932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dedA"	0.022733605956657	0	0	0	0	0.147881772723832	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0702026527730904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	-0.0128062501890664	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0263108176526609	0	0	0.0229179291817279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0690312100729706	0	0	0	0	0	0	-0.0278796193703589	0	0	0	0	0	0.163007566270394	0	0	0	0	0	0	0	0	0	0.112206383336131	-0.0568405241110652	0	0	0.111164137731865	0	0	-0.00600583966437937	0	0	0	0	0	0	0	0.117259503309914	0	0	0	0.106222448185187	0	0	0	0	0	0	0.116207644219803	0.131906360053765	0	0	0.144182033330345	0	0
