"ECB_00212"	"ECB_00376"	"ECB_00490"	"ECB_00624"	"ECB_00739"	"ECB_01992"	"ECB_02003"	"ECB_02008"	"ECB_02800"	"ECB_02821"	"ECB_03523"	"ECB_03714"	"ECB_03951"	"ECB_04076"	"ECB_misc_RNA_47"	"ESCRE0749"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"abgB"	"adhE"	"araE"	"aroA"	"aroK"	"atoC"	"atpC"	"bssR"	"cls"	"crp"	"cusC"	"cysH"	"deoA"	"dfp"	"dld"	"dnaA"	"dppD"	"dusB"	"efeO"	"emrB"	"fadL"	"fbp"	"fimE"	"fis"	"flgC"	"frmB"	"frmC"	"fruK"	"ftsH"	"gcp"	"glgA"	"glgC"	"glgP"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hemL"	"hsdR"	"hupB"	"hyfG"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"leuV"	"livJ"	"lysR"	"manX"	"mdoH"	"mdtE"	"metH"	"metJ"	"metW"	"mhpR"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"murE"	"mutL"	"napA"	"narG"	"narY"	"nuoA"	"nusA"	"ompR"	"phnD"	"pitB"	"polB"	"potD"	"ppiA"	"ppk"	"pqiB"	"prfA"	"proM"	"proW"	"puuD"	"rho"	"rhsB"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"sgrR"	"slyA"	"sucB"	"tap"	"thiI"	"thrB"	"tktB"	"topA"	"torY"	"treF"	"ulaG"	"uraA"	"uspA"	"uvrD"	"uxaA"	"wbbD"	"ybaL"	"ybbN"	"ybhI"	"ybiO"	"ybiV"	"ybiW"	"ybjE"	"ycbS"	"yccE"	"yceF"	"ycfQ"	"ycgV"	"yciQ"	"ydaE"	"ydcD"	"ydcN"	"ydcR"	"ydcU"	"ydeJ"	"ydgR"	"yebS"	"yegE"	"yejM"	"yfcI"	"ygaD"	"ygcN"	"ygfA"	"yggG"	"yhdJ"	"yhhA"	"yhhF"	"yicC"	"yjaG"	"yjbA"	"yjcF"	"yjeP"	"yjgQ"	"ykgG"	"yncB"	"yraL"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00376"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00490"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00624"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	0	0	0	1	0.0812797768498932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811138825586906	0	0	0	0	0	0	0	0.0937351447464735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348638321851649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877605546772521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	0.0812797768498932	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454854079326926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281534158623772	0	0.039369661451399	0	0.0306779539971955	0	-0.0145777442536263	0	0	0	0.183124115202815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0626640402087856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0536149551864884	0	0	0	0	0.179718940106527	0	0	0	0	0.0202850803350538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0273224876714013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0899739323911326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258097702556227	0	0	0	0	0	0	0.0650126348648901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237473957846652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0453477266023148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
