"ECB_00212"	"ECB_00737"	"ECB_00825"	"ECB_01413"	"ECB_01992"	"ECB_01999"	"ECB_02002"	"ECB_02003"	"ECB_02800"	"ECB_02804"	"ECB_03523"	"ECB_04076"	"ESCRE0749"	"ESCRE1901"	"ESCRE2157"	"ESCRE3628"	"ESCRE4497"	"IS3_insF"	"IS5_ESec3"	"abgB"	"araE"	"argA"	"atoC"	"atpF"	"azoR"	"cls"	"cysQ"	"dapA"	"deoA"	"dgt"	"dnaA"	"dppD"	"dusB"	"ebgA"	"efeO"	"endA"	"fadH"	"fbp"	"fis"	"folM"	"frmB"	"ftsH"	"ftsW"	"fusA"	"glgA"	"glgC"	"glgP"	"glgX"	"glmS"	"glpE"	"glpF"	"glpK"	"glpR"	"glpT"	"gltB"	"gor"	"gyrB"	"hemA"	"hrpA"	"hsdR"	"hslU"	"hupB"	"hyfG"	"iclR"	"ilvE"	"ilvG"	"ilvL"	"ispH"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"lon"	"lysR"	"malQ"	"manZ"	"mdoG"	"metA"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"murA"	"murE"	"nagD"	"nuoA"	"nuoM"	"nusA"	"ompR"	"orn"	"poxA"	"ppiA"	"proQ"	"pta"	"puuP"	"pyrB"	"rhlB"	"rho"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rssB"	"rtn"	"sdaC"	"secF"	"sucB"	"tap"	"thiI"	"thrB"	"torS"	"treF"	"ubiB"	"uidB"	"ulaG"	"uspA"	"uxaA"	"wbbD"	"wzyE"	"yahA"	"ybaL"	"ybhI"	"ybhJ"	"ybiW"	"ybjE"	"ycbC"	"ycbS"	"ydaE"	"ydbD"	"ydcN"	"ydeH"	"ydiJ"	"yecP"	"yeeJ"	"yejA"	"yfaE"	"yfcD"	"yfdC"	"yfeY"	"ygaD"	"ygdH"	"ygfK"	"ygiV"	"ygjF"	"yiaG"	"yicC"	"yjaG"	"yjbA"	"yjcC"	"yjcF"	"yjgN"	"yjgQ"	"ylaB"	"yneH"	"yraM"	"znuA"	"zraR"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00737"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0855719716785254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0738499238162869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00825"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0971520578179539	0.0375708120699256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124652359142635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01413"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0647088891523944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105242451147974	0	0	0	0	0	0.0586132313720436	0	0	0	0	0	0	0	0	0	0	0	0	0.0648306652684112	0	0	0	0.0297226304184933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0103888637969982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721106331945969	0	0.0479859961521141	0	0	0	0	0	0	0	0	0	0.00204894888297411	0	0	0	0.0597097821593176	0	0	0	0	0	0	0	0.0599917693217776	0	0	0	0	0	0.119303230591985	0	0	0	0	0	0	0	0	0	0.0700063520808655	0	0	0	0	-0.00707797813040672	0	0	0	0	0	0	0	0	0	0	0.000363345604201781	0	0	0	0	0	0	0	0	0	0.129798198624971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204235195974484	0	-0.226739014930885	0	0	0	0	0.0185796573099245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01999"	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0419490131776296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119262185823042	0	0	0	0	0	0	0	0.117079287886739	0	0	0	0.0436781251062097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02002"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436111357487798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662636596343774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903473473174922	0	0	0	0.0953920365033098	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.108999402144305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116586312337111	0	0	0.0678229472715891	0	0	0	0	0	0	0.1131887172995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
