"ECB_00739"	"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02804"	"ESCRE1901"	"ESCRE4497"	"IS3_insF"	"IS5_ESec3"	"atpF"	"bglJ"	"cls"	"crp"	"endA"	"glgP"	"glpF"	"glpR"	"gltL"	"hemA"	"iclR"	"ilvG"	"kpsD"	"kpsE"	"kpsM"	"lon"	"metA"	"metH"	"mrdA"	"mrdB"	"mreB"	"nagD"	"nusA"	"pta"	"puuP"	"rho"	"rpoB"	"rpoD"	"speB"	"thrA"	"vacJ"	"valT"	"yahG"	"ybaL"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfcN"	"yfhK"	"yfiB"	"ygcN"	"yraQ"
"ECB_00739"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.103220984432728	0	0	0	0	0.000662907056377422	0	0	0	0.19748358714766	0	0.204970757251657	0	0	0	0.188275390021578
"ECB_01992"	0	1	0.0951000638314622	-0.0396356629322701	0	-0.119679250146615	0.000735058922444486	0	0	0	0	0	-0.0206137671872063	0	0.10917496775336	0	0.0691710663323589	-0.0732274216920205	-0.030386656927484	0.0245445978367159	-0.0683463295838255	-0.0532742862772008	-0.0236048889001332	0.0169286255685938	0.00773009498631278	-0.0340648177627462	0	0	-0.0144814466016708	0	0	-0.0690348254787595	0	0	0	0	-0.052557083896819	0	-0.00917313814614964	0.0965856524666978	-0.00704579462020401	0	0	-0.0678278544945145	0	0	0	0	0	0	-0.0621101865487882	0
"ECB_01996"	0	0.0951000638314622	1	0	0	-0.0548478213002098	0	0	0	0	0	0	0	0	0.118211459987619	0	0.0184962872342689	-0.0484077276339819	0	0	-0.0583955812976476	-0.0207311215356147	0	0	0	-0.0154300095477217	0	0	0	0	0	-0.0470588143330069	0	0	0	0	-0.0707120122683755	0	0	0.068793924326113	0	0	0	-0.0332981912331358	0	0	0	0	0	0	-0.0144245943430209	0
"ECB_01999"	0	-0.0396356629322701	0	1	0	0	0	0	0	0	0	0	0	0	-0.00406531555951965	0	0	0	0.120644742584424	-0.00932036000328951	0.164679307654871	0.146619603074253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980439392078924	0	0	-0.00784257619150762	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	0	1	0	-0.0626821560737984	0	0.103347276036121	0	0	0	0	0	-0.0812214365120712	0	0	0.0104580597975939	0	0.0584433206285111	0	0	0	-0.100062574305414	-0.0703341653872506	0	0	-0.00867897008569401	0	0	0.10647883993628	0.106364397117382	0	0.104749350942019	0	0	-0.0992125455016775	0	0	0	0	0	0	0.00212284224093219	0	0	0	0	-0.0583773533076005	0	0	0
"ESCRE1901"	0	-0.119679250146615	-0.0548478213002098	0	0	1	0	0	0	0	0	0	0.0462786074245631	0	-0.123739356683497	0	-0.0898131090530384	0.0771009077323216	0	0	0.0832356942946082	0.0360182363596404	0.0533457942551836	0	0	0.0788378316682511	0	0	0.0531086696032637	0	0	0.0620278303240168	0	0	0	0	0.183584660932868	0	0.0430599671664754	-0.0766966333467007	0.0390763254444999	0	0	0.0603627765073095	0	0	0	0	0	0	0.0418156312968301	0
"ESCRE4497"	0	0.000735058922444486	0	0	-0.0626821560737984	0	1	0	-0.0467495401940436	0	0	0	0	0	0	0	0	-0.03641979894579	0	0	0	0	0	0.115785306049009	0.193896800560525	0	0	0.136185610226019	0	0	-0.0545272939785452	-0.0917794429929468	0	-0.0502514664026204	0	0	0	0	0	0	0	0	0	-0.0259474225350569	0	0	0	0	0	0	-0.0102134952014355	0
"IS3_insF"	0	0	0	0	0	0	0	1	0	0	0	0	0.114013225924038	0	0	0	0	0	0	0	0	0	0.124432262803316	0	0	0.158742115364649	0	0	0	0	0	0	0	0	0	0	0.0023604657164656	0.0206046222690627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	0	0.103347276036121	0	-0.0467495401940436	0	1	0	0	0	0	0	-0.0732472170183887	0	0	0	0	0.0305476693653928	0	0	0	-0.083415218026039	-0.0571216997659456	0	0	0	0	0	0.0982469217153631	0.0984383546760391	0	0.0952548685635946	0	0	-0.0835968152080672	0	0	0	0	0	0	0	0	0	0	0	-0.0419139072692873	0	0	0
"atpF"	0	0	0	0	0	0	0	0	0	1	0	0	0	0.178490306963515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0769660923141453	0	0	0	0	0	0	0	0.16657534732641	0	0.18279748489783	0	0	0	0	0
"bglJ"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0104949069033904	0.111535072454576	0	0	0	0	0	0	0	0	0	0	0	0.125815357901702	0	0	0	0	0	0	0	0	0.0206238827502738	0	0	0	0	0.239135959841624	0	0	0	0.189670260208614	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.209321851612558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	-0.0206137671872063	0	0	0	0.0462786074245631	0	0.114013225924038	0	0	0	0	1	0	-0.0338957173820433	0	-0.01806332364581	0	0	0	0	0	0.170483109796316	0	0	0.179164766316291	0	0.0924513957978431	0	0	0	0	0	0	0	0	0.0236194474437755	0.145857797549653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0.178490306963515	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0697327847503949	0	0	0	0	0	0	0	0.15987865802238	0	0.176927886195596	0	0	0	0	0
