"ECB_00212"	"ECB_00737"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_02003"	"ECB_02512"	"ECB_02804"	"ECB_02821"	"ECB_04076"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"araE"	"atpE"	"azoR"	"bcsB"	"bglJ"	"cls"	"crp"	"dacA"	"dapA"	"deoA"	"ebgA"	"efeO"	"eutJ"	"fbp"	"folM"	"frmC"	"fruK"	"fusA"	"glgA"	"glgC"	"glgP"	"glgX"	"glmM"	"glmS"	"glpF"	"glpR"	"glpT"	"gltB"	"gltL"	"hemL"	"hsdR"	"hupB"	"hycE"	"hyfG"	"iclR"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsT"	"leuX"	"lptB"	"lysP"	"malQ"	"manX"	"metA"	"metH"	"metJ"	"motB"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murA"	"nagD"	"nrdR"	"nuoN"	"nusA"	"ompR"	"orn"	"pmbA"	"prfA"	"proW"	"pta"	"puuP"	"pyrB"	"rep"	"rhlB"	"rho"	"rhsA"	"rmlA"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sdaC"	"secF"	"slyA"	"speB"	"sufD"	"sufI"	"thiI"	"thrS"	"tldD"	"topA"	"treF"	"truB"	"ubiB"	"uraA"	"uspA"	"uvrD"	"uxaA"	"wbbC"	"wbbD"	"yahG"	"yahN"	"ybaL"	"ybfA"	"yccE"	"ydbD"	"ydeJ"	"ydgR"	"yehU"	"yfiB"	"ygcN"	"ygdH"	"ygjF"	"yhhF"	"yiaG"	"yicC"	"yjaH"	"yjbA"	"yjcC"	"yjcF"	"yjgN"	"yneH"	"ynjA"	"ynjI"	"yqeA"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00737"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	0	1	0	0.0791971661074143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077800249519424	0	0	0	0	0	0	0	0	0.105450549398746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159463781471426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0371536362863817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01413"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337818249041738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0.0791971661074143	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0643103410585655	0	0	0	0	0	0	0.04767024371153	0	0	0	0	0	0	0.0535949004794568	0	0	0	-0.00785968204315084	0	0	0	0	0.0411573680754507	0	0	0	0	-0.149690712977698	-0.00536634789685711	0	0.0595879017882074	0.132279876773495	0	0	0	0	0	0	0	0.00957982722667198	0	0	0	0	0	0.147316768051083	0	0	0	0	0	0	0.112753554650677	0	0	0	0	0	-0.103604318816514	0	0	0	-0.00571199153878901	-0.100479613937365	0	0	0	0	0	0.0741195386782951	0.0767206328105639	0	0	0	-0.0585680208941905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078414333200847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02512"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00895473373660418	0	0	0.0870490366758975	0.019786481372562	0	0	0	0	0	0	0	0	0	0	0	0.00770182489163453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108864163000619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0977368169464238	0	0	0	0	0	0	0	0.0357504099014953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0677976543466517	0	0	0	-0.00850616873696326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0773576642881321	0	0	0.00552697509521718	0	0	0	0	0	0	0.0485271564187374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0960958251870599	0	0	0	0	0	0	0	0.089672299040672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415227244852025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0748162266900246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04076"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
