"ECB_00503"	"ECB_01992"	"ECB_02512"	"ECB_04076"	"ECB_04210"	"ESCRE1397"	"ESCRE1901"	"cls"	"dedA"	"dusB"	"fbp"	"ftsW"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"hupB"	"hyfG"	"iclR"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"prc"	"rep"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"secF"	"slyA"	"uspA"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ycbC"	"yccE"	"ydaE"	"ydcU"	"yeeJ"	"yfaE"	"ygiV"	"yjbA"	"yjeP"	"yraM"
"ECB_00503"	1	0	0.10867257401171	0	0	0.162161869409926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0394564427951156	0	0	0	0	0
"ECB_01992"	0	1	-0.180166367468414	0	0	0.228428865522765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432126947702687	0	0	0	0	0
"ECB_02512"	0.10867257401171	-0.180166367468414	1	-0.0867175578906436	-0.0201922175824053	0.0681810726518252	0.0263943086179618	-0.138169629386831	0.107932223661234	-0.0292860577918935	-0.0912211160321379	-0.00516962122689481	-0.233480969329247	-0.1620376579102	0.153279233620467	-0.00388908547198371	-0.226935450717941	-0.186161558086572	0.108069666605667	-0.0888968412318207	-0.0565374829214971	0.128471210641621	-0.0930072311560615	0.15737690583667	0.108862361166279	-0.219194571773722	0.161234092125447	0.155663715412123	0.158330006050719	-0.0089363654209736	-0.265322518260005	-0.0213538184284095	0.108323393595865	0.224272432849186	-0.0559254378246642	-0.125917424385757	-0.216598496158851	0.0130287487211883	-0.0632245628757929	0.132922486941927	0	-0.0220876210972762	0.153233564715668	-0.0218228161847507	0.220696579121378	-0.209483180853596	-0.0219825960531431	0.224872115754131	-0.207750720031805	-0.00514610671022224	0.108247870842388	0.158089474643132	-0.0812019165535619	0.0306445092136242	-0.00127188714748518	0.0281187391243159	-0.0932595846099382	-0.0946891686897992	0.0277354933228393
"ECB_04076"	0	0	-0.0867175578906436	1	0	0.171888329010875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.100116455841621	0	0	0	0	0
"ECB_04210"	0	0	-0.0201922175824053	0	1	0.182693618980634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141195515873457	0	0	0	0	0
"ESCRE1397"	0.162161869409926	0.228428865522765	0.0681810726518252	0.171888329010875	0.182693618980634	1	0.0358421476800158	-0.110145585741998	0.164328784414281	-0.0826999330244873	0.184153315556623	0.00893293313100034	-0.0632200292606143	0.0337363946150639	-0.041902046275056	0	-0.0580489918990339	0.0548212937033885	-0.200887568392527	0.180199624253198	-0.276907215304028	0.174998115492789	0.184903896151352	-0.0429143721949766	-0.201849944310876	0.0725680052911279	-0.0437193120261867	0.0205701118132902	-0.0431446957224105	0.246015490976317	-0.136089195101765	0.166576486080464	0.165122446794752	0.0196285903913108	-0.275839982904888	-0.151631354455147	-0.0538505356998981	0	0.159679680909077	-0.0465036749321301	-0.228988291552801	0.169888873667404	-0.0418525251690764	0.171952368540867	0.0192102611282825	0.0701564085148237	0.014737273313197	0.0192097629778715	0.0696205669208438	0.00888799736575013	-0.201139949622221	-0.0436709904836008	-0.119390792636045	0	2.57830903336519e-05	-0.000482344082931152	0.175883479663889	-0.117863095922826	-0.000424100403076467
"ESCRE1901"	0	0	0.0263943086179618	0	0	0.0358421476800158	1	0	0	0	0	0	0	0	0	0	0	0.157342583434929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173785231766801	0	0	0	0	0	0	-0.030950338201059	0	0	0	0	0
"cls"	0	0	-0.138169629386831	0	0	-0.110145585741998	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.081499597271547	0	0	0	0	0
"dedA"	0	0	0.107932223661234	0	0	0.164328784414281	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0388153324022076	0	0	0	0	0
"dusB"	0	0	-0.0292860577918935	0	0	-0.0826999330244873	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26178945250456	0	0	0	0	0
