"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_01992"	"ECB_01999"	"ECB_02008"	"ECB_02804"	"ECB_02821"	"ESCRE0483"	"ESCRE0749"	"ESCRE1397"	"ESCRE1901"	"IS5_ESec3"	"abgB"	"actP"	"atpF"	"clpB"	"cls"	"crp"	"dedA"	"dnaA"	"dusB"	"endA"	"eutJ"	"fbp"	"fis"	"flhA"	"fruK"	"glgC"	"glgP"	"glgX"	"glpF"	"glpG"	"glpR"	"glpT"	"hemA"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvG"	"ilvL"	"kefC"	"kpsD"	"kpsE"	"lptB"	"lysR"	"mdoH"	"metH"	"metJ"	"motB"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"nagD"	"napA"	"nuoA"	"nusA"	"ompR"	"pdhR"	"pgaB"	"pitB"	"ppiA"	"ppk"	"prc"	"puuP"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rssB"	"secF"	"sufD"	"wbbC"	"ybaL"	"ybbN"	"ybiW"	"ycbS"	"yccE"	"ycgV"	"ydiJ"	"yedW"	"yehU"	"yejA"	"yejM"	"yfgA"	"ygdH"	"ygfA"	"yhhF"	"yjcO"	"yjcR"	"yjhC"
"ECB_00376"	1	0	0	-0.19608196689533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0269274283448947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00503"	0	1	0	-0.0444126021165066	0	0	0	0	0	0	0.00191482128016072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155383424498365	0.108427331607547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00737"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.203608118933519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	-0.19608196689533	-0.0444126021165066	0	1	0.00891803895195488	-0.200552363212082	-0.100874845239782	0.107601400699972	-0.122896862883199	-0.00804791579380988	-0.0513036197707006	0.0194007616458008	-0.0988027109943102	-0.0133852650544102	-0.102598725894467	-0.115334194017146	0.146219446392088	-0.0578260389648806	0.126651727274395	-0.0467494345224694	-0.082136617510385	-0.0630163284885812	-0.113689672717765	0.0350390605836656	0.153024255691049	0.154391948819562	-0.102843053068272	0.161332076377185	-0.243250540883529	0.143415560279621	0	0.109801051769548	-0.161288867833345	-0.103438539345843	-0.000577611288020657	0.00800553836200795	0.0679619954369638	0.0353572290420929	-0.0885986305343125	-0.104115967457313	0.0097850675221789	0.171341453002488	0	0	0	0.0359766717331187	-0.0138614716376447	0.0165748461546982	0.183893028170435	0	-0.12855387339921	0.0960385873153227	0.151435725662546	-0.0879971661394293	-0.0395288573149037	-0.0168914484800948	0.12247464191709	-0.0141844581165104	-0.10005875202233	0.120245366134921	-0.0121181843647773	0.0232784448878469	0.0220719777121813	0.136086101035989	0.100143724890862	0.01821405309598	0.14761209661073	0	-0.0438698365465783	-0.0994734563276105	-0.020832295493908	0.0362434119404706	-0.00943098840085822	-0.0263005577074355	0.0639687585988262	0.0566024703464627	-0.127401285253691	-0.167418685114151	-0.0868553998467628	0.115765337331914	0.188419103757549	0.197632104811742	-0.0367135535733536	0.017912953034741	-0.0124048388927566	-0.0117344277766201	0.0180407889509587	0	-0.112427262999717	0.0999304126191043	0.0680686758192199	-0.117324109971938	-0.197390805719553	-0.141706587664426	0	0	0.121673745290679	-0.101750952199423	-0.133198870784835	-0.123986807256672
"ECB_01999"	0	0	0	0.00891803895195488	1	0	0	0	0	0	0	0.0150285388329897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0673229782774929	0	0	0	0	0.0821252512660931	0	0	0.100445706803967	0.0197994906222284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	0	0	0	-0.200552363212082	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0266331798309279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	-0.100874845239782	0	0	1	0	0	0	0	0	0.00103462435610449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.108589726423963	-0.138152090859905	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00485289638184606	0	0	0	0	0	0	0	0	0	0	0.00400642070653796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0.107601400699972	0	0	0	1	0	0	-0.00160134541813784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.108314002872844	-0.12557661445219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	-0.122896862883199	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.072801402121586	0	0	0	0	0	0	0.0155814131417835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0749"	0	0	0	-0.00804791579380988	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177123728917931	-0.00400004593270635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1397"	0	0.00191482128016072	0	-0.0513036197707006	0	0	0	-0.00160134541813784	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173667620537236	0.120200393270567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0.0194007616458008	0.0150285388329897	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00840360884974949	-0.0240489589258691	0	0	0	0.0288706642176502	0	0	0.00813347114806615	0.00722374048556398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674728688597272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	-0.0988027109943102	0	0	0.00103462435610449	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.105712414586315	-0.135991174206739	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000642229354414967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"abgB"	0	0	0	-0.0133852650544102	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.187380256972689	-0.00344430882949275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	-0.102598725894467	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150328553151087	-0.000340800648272097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	-0.115334194017146	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0953314143249926	0.123194283776731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"clpB"	0	0	0	0.146219446392088	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00820813707974379	0.130473274738828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143450524489402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	-0.0578260389648806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0916737026776132	0.054471648683029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0.126651727274395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.150177813084137	0.0833036795384977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dedA"	0	0	0	-0.0467494345224694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150239608892332	0.105287981693041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
