"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02003"	"ECB_02008"	"ECB_02035"	"ECB_02512"	"ECB_misc_RNA_47"	"ECB_misc_RNA_7"	"ESCRE0483"	"ESCRE1901"	"ESCRE4497"	"actP"	"aroA"	"atpF"	"bglJ"	"cls"	"dgsA"	"dnaA"	"ebgA"	"endA"	"entF"	"eutJ"	"fbp"	"fis"	"frmC"	"fruK"	"glgA"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gor"	"gspF"	"gyrB"	"hupB"	"hycE"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"lptB"	"mdoG"	"mdoH"	"metH"	"metW"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"napA"	"nrdR"	"nusA"	"ompR"	"pck"	"pta"	"rep"	"rho"	"rhsA"	"rmlB"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsC"	"rpsR"	"rrlB"	"rssB"	"sbcC"	"secF"	"slyA"	"thrA"	"thrS"	"tldD"	"topA"	"uraA"	"uspA"	"yahG"	"ybaL"	"ybfA"	"ybhI"	"ydaE"	"ydeJ"	"ydiJ"	"yehU"	"yejA"	"yejM"	"yfcI"	"yfgA"	"yfiB"	"yggG"	"yhhF"	"yicC"	"yjcF"	"yjcR"	"yjhC"	"ynjA"	"yraL"
"ECB_00256"	1	0	0	0.0716252271875	0	0	0	0.0209284268069652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768315201537455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125631007496056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0651519447523018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00376"	0	1	0	0	0	0	0.0642050390000614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208504646010246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0511435944212884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0092422836624566	0	0	0	0	0	0	0	0	0	0	0
"ECB_00825"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164882831834668	0	0	0	0	0	0	0	-0.139483826716328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0779896551131445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0.0716252271875	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00861564472391396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0873584311110203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071851049660836	0	0	0	0	0.052570212859937	0	0	0	0	0.0273664411394817	0	0	0	0.0561650897270519	0	0	0.0291899429862956	0	0.150651482560224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000986164367622079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0385454908814656	0	0	0	0	0	0	0.0443262052566414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173643063114441	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572183899354671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423412536208919	0.0351953175544149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0775067046924274	0.0333158981431847	0	0	0	0
"ECB_02008"	0	0.0642050390000614	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0954222780294433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0682003364432841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0814749709730226	0	0	0	0	0	0	0	0	0	0	0
"ECB_02035"	0.0209284268069652	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703952346457946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02512"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138052247891342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101607228256864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0723784075039519	0	0	0.089873117013224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	0	0	0	0	0	1	0	0	0.105597477144503	0	0	0	0	0	0	0	0	0	0	0.118505333402081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0345295718527835	0	0	0	0	0	0.119450175610702	0.0539234762133386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130721462511156	0	0	0	0.085722085594477	0	0	0	0	0	0	0.119738711007287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
