"ECB_00737"	"ECB_00739"	"ECB_00825"	"ECB_01413"	"ECB_01992"	"ECB_01999"	"ECB_02003"	"ECB_02800"	"ECB_02821"	"ESCRE1328"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"IS3_insF"	"clpB"	"cls"	"crp"	"dapA"	"dgt"	"dnaA"	"dusB"	"ebgA"	"eutJ"	"fbp"	"fcl"	"fis"	"fruK"	"ftsH"	"fusA"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpT"	"gor"	"gspF"	"gyrB"	"hemA"	"hupB"	"hycE"	"iclR"	"ilvE"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"leuX"	"lon"	"lptB"	"malQ"	"mdoG"	"mdoH"	"metA"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nusA"	"ompR"	"orn"	"pck"	"pdhR"	"pgaB"	"poxA"	"ppk"	"pta"	"pyrB"	"rhlB"	"rho"	"rhsA"	"rluB"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rrlB"	"rssB"	"secF"	"slyA"	"speB"	"sucB"	"thrA"	"torS"	"ubiB"	"ulaG"	"uspA"	"valT"	"wzyE"	"ybaL"	"ybjE"	"yccE"	"ycgV"	"ydbD"	"ydcU"	"yecP"	"yedW"	"yehU"	"yfcN"	"yfiB"	"ygfA"	"ygjF"	"yiaG"	"yicC"	"yjaG"	"yjcC"	"yjcF"	"yjeP"	"yjgN"	"ylbH"	"yqeA"	"yraQ"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215696036138298	0	0	0	0	0	0	0.108919739398082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0745032869182723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0305465536144438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315254882746108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118388288038717	0.137136810435336	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00825"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0420206883883442	0	0	0	0	0	0	0	0	0	0	0	-0.0952795439410241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120419478499815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01413"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0754657186795375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078827970858728	0	0.0687137083876464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0984604089851455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.116434651203729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07523689647533	0	0	0	0	0	0	0.037684483303015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0829945055968348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114853889574432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157545646040853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01999"	0	0	0	0	0	1	0	0	0	0	0.0122784483868822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940996295170277	0	0	0.0263552306835225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417147361721772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0516010488639074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0720783665381937	0	0	0.0210377970589492	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458638723391416	0	0	0	0	0	0	0	0.080424962344798	0	0	0	0	0	0	0	-0.098566424631371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100067893365724	0	0	0	0	0	0	0	0	0	0	0	0	0.00761660493250053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0978687750674378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0642110546689929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0381521277021359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0693636289083272	0
