"ECB_00737"	"ECB_01992"	"ECB_02003"	"ECB_02512"	"ECB_02804"	"ECB_02821"	"ECB_03516"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1901"	"ESCRE3628"	"IS5_ESec3"	"actP"	"atpC"	"cls"	"dapA"	"deoA"	"dgt"	"dnaA"	"dusB"	"entF"	"envZ"	"fbp"	"fcl"	"flhA"	"fruK"	"glgA"	"glgP"	"glgX"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"iclR"	"ilvL"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metJ"	"mrdA"	"mreB"	"mreC"	"mreD"	"nagD"	"napA"	"nusA"	"orn"	"poxA"	"ppk"	"puuP"	"rep"	"rhlB"	"rho"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rsmC"	"rssB"	"sdaC"	"secF"	"slyA"	"thrA"	"thrS"	"torS"	"treF"	"uspA"	"wbbD"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ycgV"	"ydcU"	"yddV"	"yecP"	"yfgA"	"yfhK"	"ygdH"	"ygfA"	"yhhF"	"yicC"	"yjcF"	"yjcO"	"yjeP"	"ykgG"	"ylbH"	"yraL"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132497931020624	0	0	0	0	0	0	0	0.111492010422967	0	0	0	0	0.148321258568288	0	0	0	0	0	0	0	0	0	0	0.101271128131666	0	0.0376264158128478	0	0	0.0909123519423418	0	0	-0.00263661186240423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0875482174382695	0	0.0447213872902058	0	0	0	0	0	0	0	0	0	0	0.146318420548943	0	0	0	0	0	0	0	0	0.120043136105098	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0	0	0	0	0	0.0161240793060507	0	-0.0160040761282718	0	0	0	0	0	0	0	0.0649510484461398	-0.00792299722244206	-0.000506863545165891	0	0	0	0	0	0	0	0	0	0.0948843128942599	0	0	0.105019381994413	0.0837689384494006	0	0.0715520980410773	0	0.168728885240238	0	0	0.0495795024957415	0	0	0	0.039895079384882	0	0	0	0	0	0.0764058946245395	0.069323969990597	0	0.0921566296656541	-0.0245936879872789	0	0	0	0	0	0	-0.113692222387222	0	0.0939809463791403	0	0	0	0.105172625950029	0	0	0	0	0	0	0.00619166921450832	0	0	0	0	0	0	0	0	0	0	0	0.0828471765143178	0	0	0	0	0	0	0
"ECB_02003"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543219285714871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123846483483462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0734271912440138	0.0531086936964309	0	0	0	0	0
"ECB_02512"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948748786833619	0.099762735137473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117215360113517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325651590226069	0	0	0	0.131452016160203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	0	1	0	0	0	0	0	0	0.116441028581102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0849549522597134	0	0	0	0	0	0	0	0.123284285579871	0	0.126504130489272	0	0	0	0.119940888614538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	1	0.165178571413594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137788275025429	0	0	0	0	0	0.0393822168760879	0	0	0	0	0	0	0	0	0	0.115310349562324	0	0	0	-0.0540512847351411	0	0	0	0.147057101664407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159059933974561	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03516"	0	0	0	0	0	0.165178571413594	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0897363065185724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0775135057488112	0	0	0	-0.0424299666767841	0	0	0	0.104733134164563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127914802725907	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0.0161240793060507	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0482371787482477	0.0235619875172828	0	0	0	0	0	0	0	0	0	0.092298185012258	0	0	0	0	0	0	0	0	0	0	0	0.0758399324829045	0	0	0	0.0896810591275666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	0	0	0	0	1	0.141180824702228	0	0	0	0	0	0	0	0	0	0	0.148010190921392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00866287646832871	0	0.14832980712524	-0.00106508709936229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152684477013034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	-0.0160040761282718	0	0	0	0	0	0	0.141180824702228	1	0.138165521618627	0	0	0	0	0	0	0	0	0	0.124809157337967	0	0.153259237809515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139845269262443	0	0.125208214851445	-0.0163696249471319	0	0.0546192401406366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292303741132441	0.0626874617475421	0	0	0	0	0	0.13064711032664	0	0	0	0	0	0	0	0	0	0	0	0	0.0410964293322244	0	0	0	0	0	0	0	0	0	0	0	0
