"ESCRE1901"	"IS3_insF"	"cls"	"crp"	"fbp"	"glgC"	"kpsE"	"metA"	"mrdA"	"rpoB"	"rssB"	"sbcC"	"speB"	"ybaL"	"yraL"
"ESCRE1901"	1	0	0	0	0	-0.260460347259243	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	1	0	0	0	-0.170709749279103	0	0	0	0	0	0	0	0	0
"cls"	0	0	1	0	0	0.234750813413979	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	1	0	-0.27223997881647	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	1	0.282617756953316	0	0	0	0	0	0	0	0	0
"glgC"	-0.260460347259243	-0.170709749279103	0.234750813413979	-0.27223997881647	0.282617756953316	1	-0.291292639817288	-0.370850781540654	-0.219953745887719	0	0.268441688086772	0.288633069992546	-0.187947933489206	-0.35993438431591	0.315428117702539
"kpsE"	0	0	0	0	0	-0.291292639817288	1	0	0	0	0	0	0	0	0
"metA"	0	0	0	0	0	-0.370850781540654	0	1	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	-0.219953745887719	0	0	1	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"rssB"	0	0	0	0	0	0.268441688086772	0	0	0	0	1	0	0	0	0
"sbcC"	0	0	0	0	0	0.288633069992546	0	0	0	0	0	1	0	0	0
"speB"	0	0	0	0	0	-0.187947933489206	0	0	0	0	0	0	1	0	0
"ybaL"	0	0	0	0	0	-0.35993438431591	0	0	0	0	0	0	0	1	0
"yraL"	0	0	0	0	0	0.315428117702539	0	0	0	0	0	0	0	0	1
