"ECB_01992"	"ECB_01996"	"ECB_02821"	"ECB_03516"	"ECB_04076"	"ECB_04210"	"ESCRE0749"	"ESCRE1901"	"abgB"	"actP"	"aspA"	"atpG"	"bglJ"	"cls"	"crp"	"cysQ"	"dapA"	"dgsA"	"dnaA"	"dusB"	"ebgA"	"envZ"	"fbp"	"fis"	"flhA"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gspG"	"hupB"	"hyfG"	"iclR"	"ilvL"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lysR"	"manX"	"manZ"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"napA"	"nrdR"	"nuoA"	"nuoN"	"nusA"	"ompR"	"orn"	"ppiA"	"ppk"	"prfA"	"proW"	"pta"	"pyrB"	"rep"	"rhlB"	"rho"	"rmlA"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"thrA"	"tldD"	"truB"	"ubiB"	"uspA"	"uvrD"	"vacJ"	"valT"	"wbbC"	"yahA"	"yahG"	"ybaL"	"ybeA"	"ybiW"	"ycbS"	"ycgV"	"ycjP"	"ydaE"	"yddV"	"yehU"	"yfcD"	"yfeY"	"yfgA"	"yfhK"	"ygfA"	"ygfK"	"ygjF"	"yhhF"	"yjbA"	"yjcO"	"yjhA"	"ynjA"	"zraR"
"ECB_01992"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024213118027012	0	0	0	0	0	0	0	0.0465243544301908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085206908166848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141533309989811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01996"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	1	0.12414220792612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931456619065174	0	0	0	0	0	0	0.114801317591588	0	0.0896989250837049	0.0413467142871928	0	0	0	0	0	0	0	0	0	0	0	0	0.116823144389235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786462336185889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03516"	0	0	0.12414220792612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0640681303105671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04076"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0749"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0187335508369562	0	0	0	0	0	0	0	0	0.115538576378527	-6.64639841059083e-05	0	0	0	0	0	0.0925778618546891	0	0	0	0	0	0	0	0	-0.170581849529149	0	0	0	0.0364823328979179	0	0	0	0	0	0	0	0	0	0	0	0.0432669818060281	0	0	0	0	0	0	0	0	0.0227112890851134	0	-0.00414819190802042	0	0	0	0	0	0.0854510421903804	0	-0.0277759902814268	-0.13808661997727	0	0	0	0	0.159169991999956	0.046455945000878	0	0	0	0	0	0	0	0.0834017239669225	0	0	0.0850820523846331	0	0	0	0.078829943386837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233197637540719	0	0	0	0	0	0
"abgB"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00622206809624534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0469077204217825	0	0	0	0	0	0	0.12702377594039	0	0	0	0	0	0	0.0711945346785593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0200076368351028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412702534225057	0	0	0	0	0	0	0	0	0	0	0	0	0
