"ECB_00376"	"ECB_00737"	"ECB_01992"	"ECB_02008"	"ECB_misc_RNA_47"	"ESCRE1901"	"aspA"	"atpG"	"cls"	"dinG"	"dnaX"	"fbp"	"fis"	"frmC"	"glgA"	"glgC"	"glgP"	"glgX"	"glpF"	"glpR"	"glpT"	"gspG"	"iclR"	"ilvL"	"kefC"	"kpsD"	"kpsM"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"nuoN"	"nusA"	"pta"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoD"	"rpoH"	"rpsR"	"rssB"	"sbcC"	"thrA"	"topA"	"uraA"	"valT"	"wcaI"	"wzyE"	"yahN"	"ybaL"	"ybeA"	"ybhJ"	"ycjP"	"ydeJ"	"yejM"	"ygdH"	"yhaO"	"yjaH"	"ykgE"	"yraL"
"ECB_00376"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202241237177446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110590993048881	0	0	0	0	0	0
"ECB_00737"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.225930452965486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0483945956318526	0	0	0	0	0	0
"ECB_01992"	0	0	1	0	-0.142995276792116	-0.067212926039368	-0.147079849914042	-0.155778313418001	0.0081993921877621	-0.213509552323263	-0.219702631780341	0.0560260279084728	0.127026759563803	-0.129976591981493	0.0241426899563285	0.126193466849772	0.156963905324121	0	0.103170829607123	0.206241458112453	-0.274938084732593	-0.1503383493913	-0.0341624790014408	0.120712275557007	-6.56536807639751e-06	0.127843812990019	-0.221834295453286	-0.135206642606755	0.192095424715606	0.124082662294295	-0.189424378956785	0.0326600372010378	0.0223360821749285	0.0397705422878333	0.0222249382832005	0.0162649280167983	0.0208108695476427	0.118476639382098	-0.0245954466737424	-0.0704705295444192	0.147049828845088	0.158883379740275	0.0505620759869882	0.0508651664963629	-0.0763329628342473	-0.136116342017956	-0.140839403322807	-0.076108049965047	-0.214237042192344	0.201774477190323	0.153978677584808	-0.129562240134951	-0.151888101334626	0.199322208838054	-0.147405350769589	0	0	0	0.0441849883101434	0.14528973263174	-0.218353762482959	0.061363575315273
"ECB_02008"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.207430200865719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112966581672551	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	-0.142995276792116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172937152596563	0	0	0	0	0	0
"ESCRE1901"	0	0	-0.067212926039368	0	0	1	0	0	0	0	0	0	0	0	0	-0.0292260791552276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367709450303735	0	0	0.0356522145758433	0	0	0	0	0	0	0	-0.226460935582133	0	0	0	0	0	0
"aspA"	0	0	-0.147079849914042	0	0	0	1	0	0	0	0	0	0	0	0	0.14661451574673	0	0	0	0	0	0	0	0	0	0	0	0	-0.00752071965963275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.025091180231715	0	0	0	0	0	0
"atpG"	0	0	-0.155778313418001	0	0	0	0	1	0	0	0	0	0	0	0	0.151699129492007	0	0	0	-0.00551986308558466	0	0	0	0	0	0	0	0	-0.0258543031680261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0193032806564331	0	0	0	0	0	0
"cls"	0	0	0.0081993921877621	0	0	0	0	0	1	0	0	0	0	0	0	0.0476761660082496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060934982207714	0	0	0	0	0	0
"dinG"	0	0	-0.213509552323263	0	0	0	0	0	0	1	0	0	0	0	0	-0.0781758324896341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaX"	0	0	-0.219702631780341	0	0	0	0	0	0	0	1	0	0	0	0	-0.0812012909460423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0.0560260279084728	0	0	0	0	0	0	0	0	1	0	0	0	0.194942575318253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0881762660173858	0	0	0	0	0	0
"fis"	0	0	0.127026759563803	0	0	0	0	0	0	0	0	0	1	0	0	0.0286164219414781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.174007726960343	0	0	0	0	0	0
"frmC"	0	0	-0.129976591981493	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161778911483107	0	0	0	0	0	0
"glgA"	0	0	0.0241426899563285	0	0	0	0	0	0	0	0	0	0	0	1	-0.151661222902261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.136158982292404	0	0	0	0	0	0
"glgC"	0.202241237177446	-0.225930452965486	0.126193466849772	0.207430200865719	0	-0.0292260791552276	0.14661451574673	0.151699129492007	0.0476761660082496	-0.0781758324896341	-0.0812012909460423	0.194942575318253	0.0286164219414781	0	-0.151661222902261	1	-0.177461929489306	-0.220333017036988	-0.0747658290514395	-0.114059333584743	0.0552467574088344	0.150711758206777	-0.0155173532912178	0.00333131721430113	-0.210844308033903	0.00235270813249599	-0.0844489641604414	0	-0.223516795922615	0.00311384212693311	-0.021638067595564	-0.166358592919355	-0.131120016604391	-0.18225199286918	-0.127222127922857	-0.095108144416402	-0.12660892133236	0.00327803208756349	-0.000498495010913269	-0.226497927067927	0.0310934990430038	0.0339896233638628	0.182941295627451	0.184572031799679	-0.0684080989173296	0	0	-0.0676172631225135	-0.0801362744882527	-0.113601733896667	0.0325836266720523	-0.0860008543539317	0.152770239662685	-0.111978175680516	0.148947182047209	0	0.20352003696535	-0.220058578663054	-0.166238505229624	0.0209077814618594	-0.08197033091722	0.194617188519163
"glgP"	0	0	0.156963905324121	0	0	0	0	0	0	0	0	0	0	0	0	-0.177461929489306	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0758516056718074	0	0	0	0	0	0
"glgX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220333017036988	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468259844355122	0	0	0	0	0	0
"glpF"	0	0	0.103170829607123	0	0	0	0	0	0	0	0	0	0	0	0	-0.0747658290514395	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212028756959628	0	0	0	0	0	0
"glpR"	0	0	0.206241458112453	0	0	0	0	-0.00551986308558466	0	0	0	0	0	0	0	-0.114059333584743	0	0	0	1	0	0	0	0	0	0	0	0	0.0389584980187198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217479461120297	0	0	0	0.0185882055907568	0	0.02737116232265	0	0	0	0	0	0
"glpT"	0	0	-0.274938084732593	0	0	0	0	0	0	0	0	0	0	0	0	0.0552467574088344	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0227481074151842	0	0	0	0	0	0
"gspG"	0	0	-0.1503383493913	0	0	0	0	0	0	0	0	0	0	0	0	0.150711758206777	0	0	0	0	0	1	0	0	0	0	0	0	-0.0126382885262409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0197980328685612	0	0	0	0	0	0
"iclR"	0	0	-0.0341624790014408	0	0	0	0	0	0	0	0	0	0	0	0	-0.0155173532912178	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267486215349118	0	0	0	0	0	0
"ilvL"	0	0	0.120712275557007	0	0	0	0	0	0	0	0	0	0	0	0	0.00333131721430113	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.160115859027636	0	0	0	0	0	0
