clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D11_4-1	4	11	"4,184,955"	C->A	H1237Q (CAC->CAA) 	rpoB ->	"RNA polymerase, beta subunit"
D11_4-2	4	11	"3,400,207"	G->T	T294N (ACC->AAC) 	mreB <-	"cell wall structural complex MreBCD, actin-like component MreB"
D11_4-2	4	11	"4,100,308"	C->A	R73L (CGA->CTA) 	rhaT <-	L-rhamnose:proton symporter
D11_4-3	4	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_4-4	4	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_4-6	4	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_4-7	4	11	"4,100,308"	C->T	R73Q (CGA->CAA) 	rhaT <-	L-rhamnose:proton symporter
D11_4-9	4	11	"4,186,350"	A->C	K334T (AAA->ACA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_4-10	4	11	"4,184,955"	C->G	H1237Q (CAC->CAG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_4-1	4	22	"882,338"	 +T	coding (397/759 nt)	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D22_4-1	4	22	"2,349,039"	T->C	H145R (CAT->CGT) 	inaA <-	acid-inducible Kdo/WaaP family putative kinase
D22_4-1	4	22	"4,124,002"	G->T	A152E (GCG->GAG) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D22_4-2	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-2	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-2	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-2	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-3	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-3	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-3	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-3	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-4	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-4	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-4	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-4	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-5	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-5	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-5	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-5	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-6	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-6	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-6	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-6	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-7	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-7	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-7	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-7	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-8	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-8	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-8	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-8	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-9	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-9	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-9	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-9	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_4-10	4	22	"1,198,220"	T->G	E6D (GAA->GAC) 	ymfE <-	e14 prophage; putative inner membrane protein
D22_4-10	4	22	"1,235,068"	C->T	T44M (ACG->ATG) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_4-10	4	22	"2,322,251"	T->G	I129S (ATC->AGC) 	atoC ->	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
D22_4-10	4	22	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D32_4-1	4	32	"1,136,766"	A->C	I165L (ATC->CTC) 	flgI ->	putative flagellar basal body protein
D32_4-1	4	32	"1,301,998"	A->C	S273R (AGC->CGC) 	oppA ->	oligopeptide transporter subunit
D32_4-1	4	32	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D32_4-1	4	32	"4,184,955"	C->A	H1237Q (CAC->CAA) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-2	4	32	"1,136,766"	A->C	I165L (ATC->CTC) 	flgI ->	putative flagellar basal body protein
D32_4-2	4	32	"1,301,998"	A->C	S273R (AGC->CGC) 	oppA ->	oligopeptide transporter subunit
