clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D11_2-1	2	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_2-2	2	11	"882,612"	A->T	D41E (GAT->GAA) 	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D11_2-2	2	11	"4,123,499"	IS1 (+) +9 bp	coding (950-958/1026 nt)	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D11_2-3	2	11	"2,233,145"	G->A	D90N (GAT->AAT) 	sanA ->	"vancomycin high temperature exclusion protein, DUF218 superfamily protein"
D11_2-3	2	11	"3,377,994"	T->A	I72F (ATC->TTC) 	rpsI <-	30S ribosomal subunit protein S9
D11_2-4	2	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_2-5	2	11	"1,225,761"	C->T	R107H (CGT->CAT) 	minC <-	cell division inhibitor
D11_2-5	2	11	"1,992,432"	A->T	V129E (GTG->GAG) 	pgsA <-	phosphatidylglycerophosphate synthetase
D11_2-5	2	11	"4,100,308"	C->A	R73L (CGA->CTA) 	rhaT <-	L-rhamnose:proton symporter
D11_2-6	2	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_2-7	2	11	"882,311"	C->A	G142C (GGT->TGT) 	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D11_2-7	2	11	"4,124,170"	Del;64 bp	coding (224-287/1026 nt)	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D11_2-8	2	11	"4,186,631"	A->T	T428S (ACT->TCT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_2-9	2	11	"1,142,945"	G->A	P475S (CCA->TCA) 	rne <-	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
D11_2-9	2	11	"2,259,422"	A->C	intergenic (-126/+297)	psuK <- / <- fruA	pseudouridine kinase/fused fructose-specific PTS enzymes: IIBcomponent/IIC components
D11_2-9	2	11	"4,100,308"	C->A	R73L (CGA->CTA) 	rhaT <-	L-rhamnose:proton symporter
D11_2-10	2	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D22_2-1	2	22	"385,131"	(T)7->8	intergenic (-515/-101)	yaiS <- / -> tauA	putative PIG-L family deacetylase/taurine transporter subunit
D22_2-1	2	22	"820,285"	G->A	K134K (AAG->AAA) 	ybhL ->	UPF0005 family inner membrane protein
D22_2-1	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-1	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-1	2	22	"1,849,895"	G->A	A353A (GCG->GCA) 	sppA ->	protease IV (signal peptide peptidase)
D22_2-1	2	22	"1,941,847"	A->G	V246A (GTT->GCT) 	znuA <-	zinc transporter subunit: periplasmic-binding component of ABC superfamily
D22_2-1	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-1	2	22	"2,627,992"	G->A	A316V (GCA->GTA) 	yfgF <-	"cyclic-di-GMP phosphodiesterase, anaerobic"
D22_2-1	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-1	2	22	"2,869,508"	T->C	R4R (AGA->AGG) 	pcm <-	L-isoaspartate protein carboxylmethyltransferase type II
D22_2-1	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-1	2	22	"4,118,419"	T->C	intergenic (-329/-96)	glpF <- / -> zapB	"glycerol facilitator/FtsZ stabilizer; septal ring assembly factor, stimulates cell division"
