clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D11_3-1	3	11	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_3-2	3	11	"882,240"	Del;1 bp	coding (495/759 nt)	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D11_3-2	3	11	"4,123,908"	IS1 (+) +9 bp	coding (541-549/1026 nt)	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D11_3-3	3	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_3-4	3	11	"882,240"	Del;1 bp	coding (495/759 nt)	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D11_3-4	3	11	"4,123,908"	IS1 (+) +9 bp	coding (541-549/1026 nt)	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D11_3-5	3	11	"4,185,059"	A->C	E1272A (GAG->GCG) 	rpoB ->	"RNA polymerase, beta subunit"
D11_3-6	3	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_3-7	3	11	"882,240"	Del;1 bp	coding (495/759 nt)	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D11_3-7	3	11	"4,123,908"	IS1 (+) +9 bp	coding (541-549/1026 nt)	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D11_3-8	3	11	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_3-9	3	11	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D11_3-10	3	11	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D64_3-1	3	64	"1,077,867"	C->A	R339L (CGC->CTC) 	putA <-	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
D64_3-1	3	64	"1,079,166"	G->A	intergenic (-284/-139)	putA <- / -> putP	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase/proline:sodium symporter
D64_3-1	3	64	"1,080,149"	T->A	L282Q (CTG->CAG) 	putP ->	proline:sodium symporter
D64_3-1	3	64	"1,196,209"	"Del;15,204 bp"	coding		e14 prophage
D64_3-1	3	64	"1,915,141"	+C	coding (394/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D64_3-1	3	64	"2,897,554"	G->T	T106K (ACG->AAG) 	ygcS <-	putative transporter
D64_3-1	3	64	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D64_3-1	3	64	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D64_3-2	3	64	"1,080,149"	T->A	L282Q (CTG->CAG) 	putP ->	proline:sodium symporter
D64_3-2	3	64	"1,915,141"	+C	coding (394/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D64_3-2	3	64	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D64_3-2	3	64	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D64_3-3	3	64	"333,688"	A->G	V249A (GTC->GCC) 	yahB <-	putative DNA-bindng transcriptional regulator
D64_3-3	3	64	"380,022"	(G)10->9	intergenic (-141/+47)	frmR <- / <- yaiO	regulator protein that represses frmRAB operon/outer membrane protein
D64_3-3	3	64	"759,182"	C->T	A159A (GCC->GCT) 	sucA ->	"2-oxoglutarate decarboxylase, thiamine triphosphate-binding"
D64_3-3	3	64	"1,921,832"	A->G	H18R (CAC->CGC) 	yebV ->	uncharacterized protein
D64_3-3	3	64	"2,857,113"	Del;1 bp	coding (21/2562 nt)	mutS ->	methyl-directed mismatch repair protein
D64_3-3	3	64	"3,102,265"	G->A	D196D (GAC->GAT) 	trmI <-	"tRNA m(7)G46 methyltransferase, SAM-dependent"
D64_3-3	3	64	"3,239,796"	A->G	intergenic (+251/-148)	alx -> / -> sstT	putative membrane-bound redox modulator/sodium:serine/threonine symporter
D64_3-3	3	64	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D64_3-3	3	64	"3,240,718"	G->A	V259M (GTG->ATG) 	sstT ->	sodium:serine/threonine symporter
D64_3-3	3	64	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D64_3-3	3	64	"4,581,468"	C->T	V527V (GTG->GTA) 	hsdM <-	DNA methyltransferase M
D64_3-4	3	64	"333,688"	A->G	V249A (GTC->GCC) 	yahB <-	putative DNA-bindng transcriptional regulator
D64_3-4	3	64	"689,105"	C->T	intergenic (-92/+238)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D64_3-4	3	64	"1,921,832"	A->G	H18R (CAC->CGC) 	yebV ->	uncharacterized protein
D64_3-4	3	64	"1,925,032"	G->A	intergenic (-63/-76)	yobA <- / -> holE	"CopC family protein/DNA polymerase III, theta subunit"
D64_3-4	3	64	"2,406,154"	G->A	A163V (GCA->GTA) 	lrhA <-	"transcriptional repressor of flagellar, motility and chemotaxis genes"
D64_3-4	3	64	"2,857,113"	Del;1 bp	coding (21/2562 nt)	mutS ->	methyl-directed mismatch repair protein
D64_3-4	3	64	"3,102,265"	G->A	D196D (GAC->GAT) 	trmI <-	"tRNA m(7)G46 methyltransferase, SAM-dependent"
D64_3-4	3	64	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D64_3-4	3	64	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D64_3-5	3	64	"1,914,975"	IS2 (+) +5 bp	coding (556-560/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D64_3-5	3	64	"2,942,635"	(T)7->6	intergenic (-68/+283)	gcvA <- / <- ygdI	glycine cleavage system transcriptional activator; autorepressor/DUF903 family verified lipoprotein
D64_3-5	3	64	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D64_3-5	3	64	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D64_3-5	3	64	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D64_3-6	3	64	"1,080,149"	T->A	L282Q (CTG->CAG) 	putP ->	proline:sodium symporter
D64_3-6	3	64	"1,301,998"	A->C	S273R (AGC->CGC) 	oppA ->	oligopeptide transporter subunit
D64_3-6	3	64	"4,184,955"	C->G	H1237Q (CAC->CAG) 	rpoB ->	"RNA polymerase, beta subunit"
D64_3-7	3	64	"373,336"	T->C	M139T (ATG->ACG) 	mhpF ->	"acetaldehyde-CoA dehydrogenase II, NAD-binding"
D64_3-7	3	64	"380,022"	(G)10->9	intergenic (-141/+47)	frmR <- / <- yaiO	regulator protein that represses frmRAB operon/outer membrane protein
