Gene	Position
thrA	1421
yaaJ	7686
yaaW	10647
dnaK	12248
dnaJ	14742
rihC	28072
carA	30615
carB	33603
caiF	34347
caiB	37903
kefC	48272
folA	50162
pdxA	53006
surA	53597
rluA	60307
rapA	61437
polB	64882
araD	66205
yabI	71929
thiQ	72229
thiB	75447
ilvI	86472
ilvH	87468
cra	88325
ftsI	92846
murE	93429
mraY	96628
ftsW	98514
ftsA	105107
secM	107812
secA	108436
hofC	115303
hofB	117074
nadC	117798
ampD	118913
ampE	120014
aroP	120680
pdhR	122856
aceF	126432
lpd	129023
acnB	132850
gcd	140442
yadE	145812
yadC	150947
yadL	152036
htrE	154273
yadV	155935
sfsA	160782
hrpB	164205
mrcB	165604
fhuA	169645
clcA	175450
btuF	178096
cdaR	182936
yaeI	184257
rpsB	190287
dxr	194158
bamA	199912
lpxB	203977
dnaE	206315
tsaA	219364
metQ	220239
gmhB	222892
yafE	232548
fadE	242255
yafJ	245038
dinJ	246408
yafL	247461
yafO	252574
pepD	254408
frsA	257261
crl	257908
proA	262563
ykfA	268164
yagA	281050
yagF	284869
yagG	285647
yagH	287971
insA	291324
yagK	292513
paoC	300314
ecpE	304952
ecpB	309486
ykgL	312189
insF1	2171398
rclR	320884
ykgF	323702
betA	326300
betB	328682
betT	331201
yahC	334653
yahE	335970
yahL	344967
yahM	345649
prpD	352649
prpE	352986
cynR	358616
cynT	359253
cynS	359645
lacZ	365380
mhpR	367852
mhpC	371588
mhpF	372966
frmR	379606
insD1	4499500
yaiP	383259
yaiS	384059
tauA	385737
yaiW	398108
ddlA	400720
iraP	401548
mak	410683
araJ	411829
sbcC	414875
sbcD	416025
phoB	417373
proY	421646
malZ	424284
queA	425651
secD	427675
pgpA	437107
dxs	438929
yajL	443051
yajQ	444855
cyoE	447554
cyoA	451410
lon	459628
ppiD	463085
ybaE	466610
ybaO	468662
mdlA	468932
amtB	473864
ybaY	475667
ybaA	477025
ylaB	478533
tomB	480334
acrB	484106
acrA	484933
acrR	486130
mscK	487368
priC	490798
apt	491776
htpG	495405
gsk	500360
ybaL	503229
ybbO	518905
ybbP	521055
rhsD	524038
allS	531656
glxK	542528
allC	544951
fdrA	548249
ybcF	551137
lpxH	553397
sfmC	559065
ybcK	569386
ybcL	571444
ybcM	572217
rzpD	578568
appY	583963
ompT	585480
envY	586280
ybcH	587520
nfrA	590450
cusC	595990
cusA	600470
hokE	607988
fepC	620014
fepD	621863
entA	628710
cstA	631934
dsbG	638399
ybdR	642173
citX	647740
citF	649372
citE	649648
dcuC	654617
tatE	659010
lipB	662153
rlpA	664102
mrdA	668033
