Gene, Length, Observed, Expected, Multiplicity, -log10(P)
malT, 2183.7, 18, 0.91, 11.53, 38.9236
ftsL;ftsA;mraY;mraW;murC;murD;murE;murF;murG;ftsW;yabB;ftsI;ftsQ;ddl;ftsZ, 12848.3, 16, 5.36, 1.74, 8.79256
pykF, 1176.0, 15, 0.49, 17.84, 39.0307
atoS;atoC, 2562.7, 15, 1.07, 8.19, 27.8876
ftsN;menA;hslU;hslV, 3166.7, 14, 1.32, 6.18, 22.5136
hsdS;hsdM, 2431.7, 14, 1.02, 8.05, 25.9261
sms;serB;nadR, 2818.0, 14, 1.18, 6.95, 24.0118
rpsE;rplE;rplX;rpsN;rplR;rpsH;rplN;rplO;rpmJ;rplF;prlA;rpmD, 4476.3, 13, 1.87, 4.06, 16.151
yadH;yadG, 1297.7, 12, 0.54, 12.93, 27.8421
fadL, 1139.3, 10, 0.48, 12.27, 22.9674
iclR, 740.0, 10, 0.31, 18.90, 27.1315
hokB;mokB, 261.3, 10, 0.11, 53.52, 37.36
infB;yhbC;nusA, 3758.0, 10, 1.57, 3.72, 12.0182
phoH, 918.0, 10, 0.38, 15.23, 25.0434
gmk;rpoZ;spoT;trmH, 3033.3, 9, 1.27, 4.15, 11.8097
ECB_02819;ECB_02818;ECB_02813;ECB_02817;ECB_02816;ECB_02815;ECB_02814, 6410.7, 9, 2.68, 1.96, 6.31755
acs, 1577.3, 9, 0.66, 7.98, 17.1532
menD;menE;yfbB;menB;menC, 4363.7, 9, 1.82, 2.88, 9.02871
arcA, 651.3, 8, 0.27, 17.18, 21.2646
yeeF, 1167.0, 8, 0.49, 9.59, 16.7894
fis;yhdG, 1098.7, 8, 0.46, 10.18, 17.2467
focA;pflB, 2580.0, 8, 1.08, 4.34, 10.9621
glpE;glpG;glpR, 1612.7, 8, 0.67, 6.94, 14.3659
mokC, 263.0, 7, 0.11, 37.22, 24.0853
ybaL, 1419.3, 7, 0.59, 6.90, 12.7051
thrL;thrB;thrC;thrA, 3802.0, 7, 1.59, 2.57, 6.66356
argR, 459.7, 7, 0.19, 21.29, 20.248
envZ;ompR, 1685.7, 7, 0.70, 5.81, 11.5974
yqeC;yqeB, 2039.7, 7, 0.85, 4.80, 10.3909
mreB;mreC;rng;mreD;maf_2, 3804.0, 7, 1.59, 2.57, 6.66059
sapD;sapF;sapA;sapB;sapC;ycjD, 4516.7, 7, 1.89, 2.17, 5.71165
yjgN, 1031.0, 7, 0.43, 9.49, 14.8018
metB;metL, 2818.7, 6, 1.18, 2.98, 6.60025
actP;yjcH, 1616.3, 6, 0.67, 5.19, 9.51449
ygjG, 1171.7, 6, 0.49, 7.16, 11.2872
rumA;relA, 2827.0, 6, 1.18, 2.97, 6.58551
mntH, 1072.7, 6, 0.45, 7.82, 11.7818
yieO;rbsR;yieP, 2535.3, 6, 1.06, 3.31, 7.13684
ybiX;ybiI;ybiL, 2658.0, 6, 1.11, 3.16, 6.89624
kduI;kduD, 1368.7, 6, 0.57, 6.13, 10.4246
yciU;cls, 1535.7, 6, 0.64, 5.46, 9.79293
yddH, 546.3, 6, 0.23, 15.36, 15.6432
ybbO;ybbN;tesA, 1804.3, 5, 0.75, 3.88, 6.82623
cirA, 1608.3, 5, 0.67, 4.35, 7.33424
ascF;ascB, 2313.3, 5, 0.97, 3.02, 5.7569
hokD, 221.7, 5, 0.09, 31.54, 16.7645
lon, 1898.0, 5, 0.79, 3.68, 6.60504
rpoA;rpsD;rpsK;rpsM;rplQ, 2352.7, 5, 0.98, 2.97, 5.68581
fimA;fimC;fimI, 1575.0, 5, 0.66, 4.44, 7.42747
yadF, 616.0, 5, 0.26, 11.35, 11.7914
rluD;yfiH, 1429.7, 4, 0.60, 3.91, 5.71498
gltS, 1049.0, 4, 0.44, 5.33, 6.82864
yhbX, 1388.3, 4, 0.58, 4.03, 5.81898
ygjD, 871.3, 4, 0.36, 6.42, 7.51254
pykA, 1187.7, 4, 0.50, 4.71, 6.37749
ECB_00514;ECB_00515;ECB_00516;ECB_00513, 1175.0, 4, 0.49, 4.76, 6.41632
lysU, 1307.0, 4, 0.55, 4.28, 6.03374
mppA, 1346.7, 4, 0.56, 4.15, 5.92705
yiaT, 666.0, 4, 0.28, 8.40, 8.51952
ynjI, 918.3, 4, 0.38, 6.09, 7.31788
nadB, 1341.0, 4, 0.56, 4.17, 5.94215
ECB_02826, 1232.7, 4, 0.51, 4.54, 6.2435
yhiO, 367.0, 3, 0.15, 11.43, 7.53407
marC, 624.3, 3, 0.26, 6.72, 6.01997
yegP, 361.3, 3, 0.15, 11.61, 7.57926
dinI, 267.0, 3, 0.11, 15.71, 8.45731
appY, 697.3, 3, 0.29, 6.02, 5.71075
ydjM, 554.7, 3, 0.23, 7.56, 6.35307
