"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281549956157569	0.159055111273535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0402365244387974	0.00509757670701437	0	0.0290097339260951
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.010361688458846	0	-0.0355780977315262	-0.0264348253637867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221333646874849	0	0	-0.00149525917256327
"ECB_02797"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.206634148861302	0	-0.00995932931924778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0557579334347949	0	0	0
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0516958590907532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13108975499362	0.130580299329227	0	0
"ECB_02852"	0	0	0	0	1	0	0	0	0	0	0.0422242153162081	0	0	0	0	0	0	0.0883716440457965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297548870453203	0	-0.122564344439541	0	0
"ECB_03722"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.000578065067731748	0	-0.0177924644540865	-0.00213565958020434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223261036376092	0	0	0
"acpP"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0905263343051889	0.161578025410412	0	0	0.0240481218880524	0	0	0	0	0	0	0	0	0	0.0127220411441717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337870668204139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0545500114975507	0.0139065708026348	0	0.058523685512024
"acs"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192701646479725	0	0
"appC"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.204513868762911	0	-0.00256750083462105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0503217583911703	0.000340364983652321	0	0
"arcA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0145368921287358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.158839891662353	0.133062402345347	0	0
