"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505820022939097	0.159428960717736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.013825257197398	0.0126050889415218	0	0.0360554685372464
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	-0.0135280207071031	0	-0.0286199178834521	-0.0137333429127187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235105145677242	0	0	0
"ECB_02797"	0	0	1	0	0	0	0	0	0	0	0	0	0.167274536230282	0	-0.0365705638681023	-0.0310282155168445	0	0	0	0	0	0	0	0	0.0214632647120792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214802649096159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0960013667978325	0	0	0
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227866534175307	0	0
"ECB_03722"	0	0	0	0	1	0	0	0	0	0	0	0	-0.00331918245592728	0	-0.0127167075405638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229549288674979	0	0	0
"acpP"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0983890189937095	0.16429776914384	0	0	0.0315940918191239	0	0	0	0	0	0	0	0	0	0.0200534200020426	0	0	0	0	0	0	0	0	0	0	0	-0.00252996036872883	0	0	0	0	-0.0023801519678086	0	0	0	0	0	0	0	0	0	0	0	0	0.00629144537468343	0	0	0	0.0070698265910695	0.0403525119589981	0.00255731540106938	0	0	0	0	0	0	0	0	0	0	0	0	-0.0253721022285893	0.0128365474335763	0	0.0651701019253569
"appC"	0	0	0	0	0	0	1	0	0	0	0	0	0.170495773285781	0	-0.0366815512145093	-0.0200822381997934	0	0	0	0	0	0	0	0	0.008147759438272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00816868692092561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0908060768028827	0	0	0
"arcA"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0226938951798882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156307408948263	0.143670262926164	0	0
"cls"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.119499529004602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118936359169088	0	0
"cycA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.041510042010019	0.159143674224739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00972590380849775	0.0120109062718812	0	0.0308032584302039
"envZ"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23337824009484	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0878035837811915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.195328637231145	0	0
"flgB"	0	-0.0135280207071031	0.167274536230282	0	-0.00331918245592728	0	0.170495773285781	0	0	0	0	0	1	0	-0.0319579238179019	-0.0720786846222719	0	0	0	0	0	0	-0.213217873433565	0	0.164240550345801	0	0.156911063281609	-0.00182413529484104	0	0.0404815426807766	0	0	-0.000433392890208194	0	0	0	0	0	0.170050469953622	0	0.00345872611329136	0	0	0	0	0.00334236376443355	0.171172262700404	0.000393441317945898	-1.38123379171467e-05	0.164230451903967	0.0335829684636468	-0.00178605595226412	0	0	0.168792932851329	-0.000878781676949666	0.0749307177065952	0	0	0	0	-0.0159570032378334	0	0	0	0	0	0	0	0	0	0	0	0.167288861766605	0	0.169828197061058	-0.00120084462028847	-0.101460006127388	0.00511329211761174	0.170986152744	-0.0231256467214428
