"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"ylcG"
"ECB_01992"	1	0	0	0	0	0	0	-0.202110645377417	-0.00132245441967404	0	0	0	0.0432252338305994	0	-0.0838725953838482	0	0	0	0	0	0	0	0	0.0931901203028416	0	0	0	0	0	0	0	0	-0.053081671167811	0	0	0	0	0	0	0	0	0	0
"acpP"	0	1	0	0	0.0930524124405564	0	-0.00151299918993971	0.0819286067447878	0.0783846730315359	0	0	0	0	0.0808819584531451	0.0626100879300353	-0.0839178308145449	0	0	0	0.0958011334113981	0	0	0	0	-0.0547934894000693	0	-0.054893571036054	0	-0.0568068838072488	0	-0.0512562168040457	0	0.0458786199294241	0	0.0999155560774078	0.0829572128420045	0.0964985145939857	0	0.0819512877812175	0	0	0.0717489133652489	0.0288749211195474
"appC"	0	0	1	0	0	0	0.234131308371602	0	-0.00895267454589859	0	-0.0472053881119233	0	0	0	0	0.0286796411095837	0	0	0	0	0	0	0.192504336158934	0	-0.00513060643909897	0	-0.00476378532420114	0.188322169355746	0	0.0440935877317113	0	0.128694483694035	0	0	0	0	0	0	0	0	0	0	-0.00818328530839794
"arcA"	0	0	0	1	0	-0.0279094412268526	0	-0.010122807668925	0	0	-0.0550283192985602	0	0.0151291730521955	0	0	0	0.0475858220599271	0	0.0517102464023262	0	0.0430612971687928	0	0	0	0	-0.00388659792674766	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486863311549513	0	0	0.241858477784469
"cycA"	0	0.0930524124405564	0	0	1	0	0	0.10178879933281	0.197407520727953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159148922593008	0	0	0	0	0	0	0	0.0367717963530823
"fabF"	0	0	0	-0.0279094412268526	0	1	0	0	-0.00923398428805228	0	0.177987743087896	0	0	0	0	0	-0.00964688251347484	0	-0.0172383597295207	0	-0.00183688099156406	0	0	0	0.0815923617431875	0	0.08113692123562	0	0.067202249776101	0	0.0420267771789532	0	0	0	0	0	0	0	0	-0.0117835155186434	0	0	-0.212910650007997
"flgB"	0	-0.00151299918993971	0.234131308371602	0	0	0	1	-0.0156129942630926	-0.0336693714501107	0	-0.0714592063104273	0	0	0	0	0.144163614883804	0	0.0916537959127326	0	0	0	0	0.232172023234623	0	-0.0620158407628371	0	-0.0619827079649051	0.236945880097648	-0.0543688632416191	0.164744383886863	-0.0426547421304471	0.214080488425506	0	0	0	0	0	0	0	0	-0.151752385033936	0	-0.074032021756027
"hokB"	-0.202110645377417	0.0819286067447878	0	-0.010122807668925	0.10178879933281	0	-0.0156129942630926	1	0.0340781964430474	0	0	0.151268199932771	-0.183485113641695	0.0796620972642322	0.252992895598284	-0.135038870142351	-0.00825058060293697	0	-0.00907370419105565	0.108709799053304	-0.00609373504194509	0	0	-0.195081590890823	0	0.143133598618546	0	0	0	-0.182773183253608	0	0.0203573707253077	0.277742362748172	0.146860366738684	0.116602216412667	0.0831514963837481	0.110015169792486	0.150719511937338	0.0814507870805938	-0.00878982084362165	-0.185093181676976	0	0
"hokD"	-0.00132245441967404	0.0783846730315359	-0.00895267454589859	0	0.197407520727953	-0.00923398428805228	-0.0336693714501107	0.0340781964430474	1	0	0	0	0	0.197226924221808	0.0934932296624585	-0.220881992436919	0	0	0	0.19576895754808	0	0	-0.00857891424848191	0	-0.0956123864265361	0	-0.095986903730117	-0.00962919992516924	-0.106146565599207	0	-0.112139125735484	0	0.0818977988404915	0	0.183102740467691	0.197606765958409	0.194909236235686	0	0.197401212117737	0	-0.0389266964933832	0.182222510821998	0.0455938127683464
"hslU"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
