"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0.00389039930797133	0	0	0	0	0	0	0	0.0417485929742228	0.164380327707052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00792180957333305	0	0	0	0	0	0	0	0	0	0	0	0	-0.0254204744086013	0.0106175168172349	0	0.0450107596139759
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	-0.0447253396368483	-0.0202763753304372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237867017400193	0	0	-0.00450555886653422
"ECB_02816"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235741804631044	0	0
"ECB_03722"	0	0	0	1	0	0	0	0	0	0	0	0	-0.0242479703629848	-0.003656289930218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237717455549425	0	0	0
"acpP"	0.00389039930797133	0	0	0	1	0	0	0	0	0	0	-0.012396727005105	0.0858250165771631	0.150847762619596	0	0	0.0403578622590795	0	0	0	0	0	0	0	0.0203913260350406	0	0	0	0	0	0.00354527754430822	0	0	0	0	-0.0215414427511184	0	0	0	-0.0214299011432768	0	-0.0173490645381272	0	0	0	0	0	-0.00702569930490544	0	0	0	0.00977056308069728	0.00793932733389917	0	0	0	0.016082476578022	0.0477752475824884	0.0125516504040592	0	0.00547333971603551	0	0	0	0	0	0	0	0	0	-0.0306030197872932	0.00437560099472761	0	0.0674319585800674
"appC"	0	0	0	0	0	1	0	0	0	0	0.196021712002314	0	-0.0130909536351724	-0.0478087964333517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121712395645089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0756117637598079	0.00488581351852297	0	0
"arcA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194175257687249	0.148561010013224	0	0
"cycA"	0	0	0	0	0	0	0	1	0	0	0	0	0.0351603889206391	0.166039413475792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172985128512667	0	0	0	0	0	0	0	0	0	0	0	0	-0.0222349289594407	0.0097370402848424	0	0.0412392780607853
"envZ"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240791166363643	0	0
"fabF"	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0843383766406072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.207972304241518	0	0
