"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"ylcG"
"ECB_01992"	1	-0.00737785293080077	0	0	0	0	0	-0.163869403593979	-0.0144710676272063	0	0	0.0998924259311609	0	-0.0111766941031607	0	0	0	0	0	0	0	0	0.158004641121727	0	-0.0245093395756075	0	0	0	0	0	-0.0576063899633823	-0.111171074885987	-0.0123153330968144	0	0	-0.0012849630864228	0	0	0.0795762011370414	0	0
"acpP"	-0.00737785293080077	1	-0.0022631716036415	0	0.118706451772003	0	-0.024318100375668	0.0895573207978533	0.0751001836403038	0	0	0	0.111855292901999	0.084878759070118	-0.101976218877193	0	0	0	0.121879052457958	0	0	-0.00408519809615774	0	-0.0243174556349734	0	-0.0242138395513487	0	-0.0189344659855717	0	-0.0072620672859239	0	0.072777662732999	0	0.113729004938411	0.122844166958058	0	0.112898528969089	0	-0.0660079885870035	0.07380297053403	0.0105578036244049
"appC"	0	-0.0022631716036415	1	0	0	0	0.239211572987873	-0.0086115654291245	-0.0292907053012628	0	-0.00848264943323303	0	0	-0.00764485713339565	0	0	0	0	0	0	0	0.202311154761109	0	-0.016207890234879	0	-0.0158844173781749	0.197321516290438	-0.00709659138443185	0.0244911962024155	0	0.123667379109813	0	0	0	0	0	0	0	0	0	0
"arcA"	0	0	0	1	0	-0.0481855495611435	0	0	0	0	-0.0677579807999	0.0291150596514862	0	0	0	0.0770681796778157	0	0.0806647518624365	0	0.0732576319221327	0	0	0	-0.00642192481106733	0	-0.00617896969157436	0	0	0	0	0	0	0	0	0	0	0	0.0781162551766241	0	0.00593721691660078	0.205614126305746
"cycA"	0	0.118706451772003	0	0	1	0	0	0.0536586884085855	0.185669563259409	0	0	0	0	0.135747599193455	0	0	0	0	0.0216442857810991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249248068772556	0	0	0	0	0	0.0142706262935003
"fabF"	0	0	0	-0.0481855495611435	0	1	0	0.0284995675778785	0	0	0.159850754112285	-0.061192320766656	0	0	0	-0.0336216230481924	0	-0.0398143965280534	0	-0.0267569068380628	0	0	0	0.0631359888032107	0.0184593051151612	0.062769434033133	0	0.0489362039556277	-0.000692820699205469	0.0180257529257187	0	0	0.00647441390929415	0	0	0	0	-0.0353964546679567	0	0	-0.199015399172948
"flgB"	0	-0.024318100375668	0.239211572987873	0	0	0	1	0	-0.0399029410479567	0	0	0	0	-0.0270661725145239	0.0549515161834107	0	0	0	0	0	0	0.23909925303484	0	-0.0392847977686923	0	-0.0392224754596929	0.239343779616498	-0.0389548498499377	0.0952027264177656	-0.0292224823308606	0.231836660861884	0	0	0	0	0	0	0	-0.0586993421910507	0	-0.024028749464501
"hokB"	-0.163869403593979	0.0895573207978533	-0.0086115654291245	0	0.0536586884085855	0.0284995675778785	0	1	0.0816009447774754	0	0.0171000688240311	-0.115253057186228	0.0226214117004539	0.0871489403328861	-0.118236972055419	0	-0.0156143254048065	0	0.0654696964031533	0	0	-0.00601119189191225	-0.170217764504602	0	0.141902939877655	0	-0.0128190131101396	0	-0.235185673752764	0	0	0.232796689686077	0.143921149615233	0.0275348691567563	0.0690857521182033	0.145651252667723	0.0252977458253652	0	-0.104730208547042	0	0
"hokD"	-0.0144710676272063	0.0751001836403038	-0.0292907053012628	0	0.185669563259409	0	-0.0399029410479567	0.0816009447774754	1	0	0	0	0.191512879452689	0.054886073105779	-0.205418785108328	0	0	0	0.185648011928584	0	0	-0.0307863958234977	-0.00853426276889104	-0.0404698981434945	0	-0.0404669094783354	-0.026530454762495	-0.0390747390629711	-0.000381206389263746	-0.0355982638084043	0	0.0971013990514767	0	0.191590396328515	0.185449086294028	0	0.191626698355601	0	-0.0947300481560237	0.142967806354198	0.0114364775039862
"hslU"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
