"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"
"ECB_01992"	1	0	0	0	-0.0857605808803193	0	-0.0138018241616576	0	0	0	0.174576386294982	0	0.054781834070676	0	0.0680606100443857	0	0	0	0	0.178801565993812	0	-0.0942323423065913	0	0.117321604999052	0	-0.055188287917805	-0.144770965306579	-0.0902388336919609	0	0.179769269355903	0
"acpP"	0	1	-0.00768048882582966	0.114753469338872	0	-0.03324600114735	0.14122028086651	0.128435928428411	0	-0.0179015018258385	0	0.126103729575358	-0.0883968740942083	0	0	0.118262960370435	0	0	-0.00930177578573246	0	-0.0271393382961598	0	-0.00508659650266628	-0.0258877343499061	-0.0106209519125824	0	0.0639442957626761	0	0.104202426245899	0	0.0507316954488551
"appC"	0	-0.00768048882582966	1	0	0	0.217685945956435	-0.0447216298181235	-0.0177610070969203	0	-0.0130369621835069	0	-0.0100927665185534	0	0	0	0	0	0	0.182648576200709	0	-0.0193998639011329	0	0.178263940394973	0.063447040149773	-0.00556164472382621	0.104347568769683	0	0	0	0	-0.0110130902673658
"cycA"	0	0.114753469338872	0	1	0	-0.00912646205696997	0.177037052230529	0.133520020398835	0	0	0	0.120004849891912	0	0	0	0.0753788972361482	0	0	0	0	0	0	0	0	0	0	0.00892209528615875	0	0.0478036133456892	0	0
"fabF"	-0.0857605808803193	0	0	0	1	0	0	0	0	0.165782000445595	-0.0723741705282949	0	0	-0.049577115329989	-0.23749821403618	0	-0.0466024341721434	0	0	-0.0610734655886178	0.187580557851947	0.111244761212712	0	-0.0831742152357309	0.14876774402816	0	0	0.103285287323867	0	-0.0584236681760203	-0.0994948276120244
"flgB"	0	-0.03324600114735	0.217685945956435	-0.00912646205696997	0	1	-0.0341962981198993	-0.0309618477810409	0	-0.0589250039434031	0	-0.032467274323743	0	0	-0.0264081302571687	-0.0157980052672533	0	0	0.217137137167015	0	-0.0593466417042795	0	0.2185378654152	0.134364021799799	-0.0563300848330637	0.183560653108046	0	0	0	0	-0.0708270700043196
"hokB"	-0.0138018241616576	0.14122028086651	-0.0447216298181235	0.177037052230529	0	-0.0341962981198993	1	0.118545718140941	0	-0.0668963690980297	-0.00777384858939165	0.135126399470587	-0.234013696691208	0	0.100947387511544	0.176584187580777	0	0	-0.0446775840065369	-0.000111533552792338	-0.0658976878304871	0	-0.0448821033474536	-0.082830123914027	-0.0638021043228601	0	0.0957260431031477	0	0.174088380992507	0	0.151039022807597
"hokD"	0	0.128435928428411	-0.0177610070969203	0.133520020398835	0	-0.0309618477810409	0.118545718140941	1	0	-0.0351121605701848	0	0.126875879819185	-0.139499127879981	0	0.020973916531501	0.135649704780851	0	0	-0.0187996056115935	0	-0.0404848011581406	0	-0.0161393290360029	-0.0479907067557487	-0.0295995125672942	0	0.0824545363749048	0	0.125650313204153	0	0.0810111356622422
"hslU"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	-0.0179015018258385	-0.0130369621835069	0	0.165782000445595	-0.0589250039434031	-0.0668963690980297	-0.0351121605701848	0	1	0	-0.023112145711614	0	0	0	0	0	0	-0.0149992654777582	0	0.268788211086854	0	-0.00979941175407436	-0.00289071136664454	0.250055936028884	0	0	0	0	0	-0.00343686656576894
