"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"wzy"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"ECB_01992"	1	0.0606325261795716	-0.0218636238517398	0	0	0	0	0	-0.14449984861025	-0.0346312594278748	0	0	0.0657309872140927	0	0	0	-0.0696267958979264	0	0	0	0	0	0	0	0	0.056398475089997	0	0	0	0	0	0.0576615998102371	0	0	0	0	0	0	-0.0486220779710738	0	0.0733648207392386	0	0	0	0	0	0	0	0	0	0	0
"ECB_03722"	0.0606325261795716	1	-0.013778020861846	0	0	0	0	0	-0.152092047504415	-0.0346726747643301	0	0	0.0370032036624657	0	0	0	-0.0595635456973236	0	0	0	0	0	0	0	0	0.0371377633232268	0	0	0	0	0	0.0391503122336353	0	0	0	0	0	0	-0.0329594560551178	0	0.0635657870054564	0	0	0	0	0	0	0	0	0	0	0
"acpP"	-0.0218636238517398	-0.013778020861846	1	0	0	0.0909737502551999	0	-0.0133687363236477	0.0654313193403604	0.07462712627662	0	0	0	0	0.0627774059203884	0	0.0566102074634976	-0.0855380084397218	0	0	0	0.0950085963536426	0	0	0	-0.00997632990700758	-0.0420703789959913	0	-0.0420560006026039	0	-0.0391452181002772	-0.0109468477738795	0	0	-0.0278471062577409	0	0	0.0984863950067207	0.0467351527989175	0	-0.0228368499059004	0.101122196265068	0.0781679773654272	0.0958732946219075	0	0.0771887524931783	0	0	0	0.0821330193186599	0	0.0211176624455708
"appC"	0	0	0	1	0	0	0	0.214255316161093	0	0	0	-0.021137366780956	0	0	0	0	0	0	0	0	0	0	0	0	0.0716840004167723	0	0	0	0	0.0661995774404932	0	0	0.137567968399657	0	0	0.0779440559346033	0.0147221124184104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0727141255052576	0
"arcA"	0	0	0	0	1	0	-0.0203552220040233	0.159284911591281	0	0.094222742565629	0	-0.133497736469375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0862173486076467	0	-0.0849490396901406	0	-0.0571024009659768	0	0.0514101966407538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076874486068402
"cycA"	0	0	0.0909737502551999	0	0	1	0	0	0.102866247557164	0.190755292673249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00590200934140778	0	0	0	0	0	0	0	0	0	0.0314537302971466
"fabF"	0	0	0	0	-0.0203552220040233	0	1	-0.0635339755160626	0	-0.00474557827395404	0	0.152586450080611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0893946552703471	0	0.0887514815914909	0	0.0749256855353377	0	-0.000852058665998012	0	0.0473990864669474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194228156337689
"flgB"	0	0	-0.0133687363236477	0.214255316161093	0.159284911591281	0	-0.0635339755160626	1	-0.00349788155641928	-0.0522694563481596	0	-0.0783563862225114	0	0	0	0	0	0.16163790201117	0	0.0903481692513465	0	0	0	0	0.212552612226198	0	-0.0634957785712103	0	-0.0633114284050287	0.217183697427878	-0.0614839632360125	0	0.135715690175966	0.181930269131129	-0.0626790892536339	0.209183937508942	0.246964002637159	0	0	0	0	0	0	0	0	0	0	0	-0.143034883140591	0	0.211819948934213	-0.0934687266861989
"hokB"	-0.14449984861025	-0.152092047504415	0.0654313193403604	0	0	0.102866247557164	0	-0.00349788155641928	1	0.0074255263593806	0	0.0108636115932051	0	-0.225201239224631	0	-0.00145167789556724	0.220462752199946	-0.0648034855678429	-0.00715485111080258	0	-0.00828415715700326	0.108654967096869	-0.00622993201990192	0	0	-0.152906635615006	0	0.156550451045314	0	0	0	-0.152856920898506	0	-0.176869011381689	0	0	0.0542076887217006	0.112622848927962	0.249240857987686	0.157428581640509	-0.142036964810485	0.114605698695421	0.0815720572496426	0.109654430756348	0.158454209540695	0.0799857611722628	-0.00741720801256189	-0.0075257681044252	-0.175103142833314	0	0	0
"hokD"	-0.0346312594278748	-0.0346726747643301	0.07462712627662	0	0.094222742565629	0.190755292673249	-0.00474557827395404	-0.0522694563481596	0.0074255263593806	1	0	0	-0.0078653868542296	0	0.177116500810065	0	0.0821153858048672	-0.21794939757469	0	0	0	0.190300602170141	0	0	0	-0.0342483817751867	-0.0824485188238651	0	-0.0828072048942923	0	-0.0874595321571353	-0.0340904929676193	-0.0193945555627434	0	-0.0908818960416655	-0.000635186187510287	0	0.189161225934009	0.0812338427352089	0	-0.0342167753010213	0.18269968224515	0.188111758613158	0.189552757970228	0	0.187867668224098	0	0	-0.0477317385432723	0.189242482648567	0	0
